Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ALGO,2020-10-16,0.3001757415,0.3078777096,0.3078777096,0.2980330036
ALGO,2020-10-17,0.3109093348,0.3003568756,0.3180498689,0.2993320267
ALGO,2020-10-18,0.3121821263,0.313730063,0.3169687087,0.3100645824
ALGO,2020-10-19,0.3085999945,0.3156932224,0.3174648607,0.3055609059
ALGO,2020-10-20,0.2879394201,0.3036030396,0.3036947185,0.2815854262
ALGO,2020-10-21,0.308917985,0.2870134311,0.3126581088,0.2855248626
ALGO,2020-10-22,0.3181226166,0.3015137497,0.3253898647,0.3012884286
ALGO,2020-10-23,0.3073375797,0.3162660599,0.3244870448,0.301541013
ALGO,2020-10-24,0.3083297416,0.3092295675,0.3131374834,0.3036698516
ALGO,2020-10-25,0.2994107135,0.3078318625,0.3119674434,0.2978883739
ALGO,2020-10-26,0.2935856873,0.3022125118,0.3066405634,0.2849623247
ALGO,2020-10-27,0.2872958719,0.2910557747,0.3005770442,0.2837336004
ALGO,2020-10-28,0.2737736705,0.2879934578,0.2916005748,0.2678309683
ALGO,2020-10-29,0.2558398231,0.2764703096,0.2843552358,0.2557106405
ALGO,2020-10-30,0.2556604877,0.2572518815,0.2582626912,0.2368286847
ALGO,2020-10-31,0.2523615274,0.254412432,0.2644199115,0.2521621354
ALGO,2020-11-01,0.2577907551,0.2491453963,0.2617675764,0.245083287
ALGO,2020-11-02,0.2477124484,0.2591587389,0.2623145849,0.2454354036
ALGO,2020-11-03,0.2338592434,0.2471188317,0.2471902471,0.2260334366
ALGO,2020-11-04,0.2410208981,0.2336182144,0.2446930484,0.2228756661
ALGO,2020-11-05,0.2492250593,0.239059781,0.2551166486,0.2339713076
ALGO,2020-11-06,0.2776169428,0.2482722161,0.2821197319,0.2481722732
ALGO,2020-11-07,0.252668541,0.2769345254,0.2977197183,0.2425225113
ALGO,2020-11-08,0.2650341854,0.2579553578,0.2762002287,0.2537685778
ALGO,2020-11-09,0.2603545949,0.266504095,0.2731512137,0.2536689506
ALGO,2020-11-10,0.2915228626,0.2605514083,0.293377833,0.2564526783
ALGO,2020-11-11,0.2804432953,0.2895018358,0.2950289765,0.277124485
ALGO,2020-11-12,0.2653399624,0.2786047156,0.2787178235,0.2607997876
ALGO,2020-11-13,0.2780937935,0.2665461232,0.2821697387,0.2632178312
ALGO,2020-11-14,0.2655059958,0.2803608123,0.2806819381,0.2627566835
ALGO,2020-11-15,0.2540498821,0.2661223788,0.2728011754,0.2498720588
ALGO,2020-11-16,0.268364782,0.2570986224,0.2734492525,0.2544011363
ALGO,2020-11-17,0.2722247473,0.271271942,0.2791942494,0.2684987349
ALGO,2020-11-18,0.2663342868,0.2745320013,0.278733953,0.2571721109
ALGO,2020-11-19,0.2664333521,0.2674049729,0.2718288187,0.2551050224
ALGO,2020-11-20,0.284929621,0.2654563919,0.2890974115,0.2643994247
ALGO,2020-11-21,0.3092307057,0.2845106916,0.3248275129,0.2840326082
ALGO,2020-11-22,0.311194329,0.3168318396,0.3236960302,0.2832466897
ALGO,2020-11-23,0.3378795731,0.2977584556,0.3417556544,0.2931329551
ALGO,2020-11-24,0.3504397487,0.3358828921,0.3744863711,0.3296668855
ALGO,2020-11-25,0.3468818224,0.3578219205,0.4213913895,0.3452587268
ALGO,2020-11-26,0.3022393645,0.3426454149,0.356912215,0.2785533176
ALGO,2020-11-27,0.2965554074,0.3016709209,0.3167483838,0.2854958782
ALGO,2020-11-28,0.3157143364,0.300418047,0.3245111621,0.2958760884
ALGO,2020-11-29,0.3138482555,0.3130849634,0.3231794817,0.3010356314
ALGO,2020-11-30,0.3255745102,0.3171382104,0.334322251,0.3128571426
ALGO,2020-12-01,0.3121713294,0.328911049,0.3472586509,0.3039061486
ALGO,2020-12-02,0.3355414976,0.3085030276,0.3494897909,0.3000832071
ALGO,2020-12-03,0.3449635209,0.3414773862,0.3578514823,0.3385635666
