Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
REP,2020-11-11,15.5912041267,14.0621686873,15.990713467,14.0381523601
REP,2020-11-12,14.6778462345,15.7234926681,15.8513111607,14.4389997436
REP,2020-11-13,14.6634859603,14.5978751946,15.3622536634,14.1628206106
REP,2020-11-14,15.262197047,14.8047105541,15.5938700159,14.2260220805
REP,2020-11-15,15.2699983533,15.3606471533,15.9729806127,14.7771218902
REP,2020-11-16,16.4976696059,15.3267254494,16.6099064824,14.7484430528
REP,2020-11-17,16.0332510595,16.7679425864,16.8175932323,15.574061965
REP,2020-11-18,15.3329579785,15.1994560911,15.4902026435,14.7841383127
REP,2020-11-19,15.2346236002,15.5321790689,15.5443943293,14.3099526852
REP,2020-11-20,14.8597983113,15.2743640396,15.4282615375,14.6865288562
REP,2020-11-21,16.11676786,14.9173517955,16.196895158,14.7911962162
REP,2020-11-22,16.0375961119,16.1156878264,16.5883063099,15.0570151458
REP,2020-11-23,16.3192632264,15.7014251169,16.3990853299,15.2177530564
REP,2020-11-24,17.5995729166,16.411710859,17.8111976717,16.3313222291
REP,2020-11-25,16.5203780613,17.599436358,17.7584895115,16.4868260379
REP,2020-11-26,14.4809977421,16.2260382211,16.5786395095,13.8928288094
REP,2020-11-27,14.6907629053,14.7098465547,15.1000394188,14.3540722858
REP,2020-11-28,15.5062060273,14.7917408344,15.8073511146,14.701576383
REP,2020-11-29,15.4533683521,15.5457262521,15.9248878147,15.1834395326
REP,2020-11-30,15.9790336917,15.4596678688,16.0098416278,15.1677442154
REP,2020-12-01,15.4276002227,15.930306435,16.1445822304,15.1057524226
REP,2020-12-02,16.4430373562,15.3595495035,16.6212357883,14.9118696204
REP,2020-12-03,16.5639997089,16.3545289434,17.0958475442,15.9170237785
REP,2020-12-04,15.2252813718,16.6517274249,16.7984916158,15.1611042859
REP,2020-12-05,19.7656623006,15.0957191349,21.150868712,14.8668576655
REP,2020-12-06,19.6806697918,18.7484620989,21.2475052548,18.039816554
REP,2020-12-07,18.4616184245,19.3355435824,20.2627979755,18.1001656774
REP,2020-12-08,16.839461047,18.5267852384,18.5972052199,16.2884271518
REP,2020-12-09,17.3612889682,16.5633515217,18.589042535,15.6105139204
REP,2020-12-10,16.4686613825,17.3031245714,17.8453305561,16.15856575
REP,2020-12-11,15.9838517425,16.6590810167,16.7294011577,15.5167216687
REP,2020-12-12,16.5330609075,15.9144005962,17.2801136352,15.8741392183
REP,2020-12-13,16.4715944111,16.3995381138,16.6967998254,16.0925524432
REP,2020-12-14,16.2672896959,16.5285695352,16.5485930772,15.6224523132
REP,2020-12-15,16.2582299783,15.9233996073,16.4845593786,15.7362360372
REP,2020-12-16,16.6299391577,16.2007228185,16.7476805681,15.6607924547
REP,2020-12-17,16.3703469554,16.7430594248,16.9374568982,15.9137310764
REP,2020-12-18,19.9847576483,16.3034995031,28.8567007079,16.007649523
REP,2020-12-19,19.3507770614,19.6224984385,22.817146508,18.4500660736
REP,2020-12-20,17.7270692284,19.6102116195,19.7450005471,17.6117144186
REP,2020-12-21,17.7646512866,17.896464793,19.9607224271,17.2771704861
REP,2020-12-22,17.4982578451,17.6654744206,18.3245234174,16.9428423326
REP,2020-12-23,15.3078272394,17.7079753454,17.8056848511,15.2200007315
REP,2020-12-24,16.7468399676,15.3595065068,16.8804207601,14.2964894373
REP,2020-12-25,16.9034946299,16.5665072342,17.5187199804,16.3642129359
REP,2020-12-26,16.6649744134,17.0826989884,17.4002793525,16.359697057
REP,2020-12-27,16.6860625842,16.5921058569,17.6346837068,15.9725483324
REP,2020-12-28,16.7171574425,16.5634528826,17.7712779871,16.106176383
REP,2020-12-29,17.3054021594,16.5457744857,18.3984471577,16.4054055816
REP,2020-12-30,16.9066660828,17.4939829561,18.0131406147,16.6175219044
REP,2020-12-31,16.7232890935,16.8821906454,16.9288784958,16.2747545554
REP,2021-01-01,16.8816482696,16.6913641056,17.2069525879,16.4886050091
REP,2021-01-02,16.6333104793,16.8829313837,17.4898723235,16.1183677503
REP,2021-01-03,17.1495162065,16.6624293588,17.384379161,15.9344066342
REP,2021-01-04,16.5132493251,17.0012803258,18.0738891843,16.0811072722
REP,2021-01-05,18.1566874839,16.7717724656,18.4498479611,16.6957076209
REP,2021-01-06,18.92476248,17.9675593272,20.1536565597,17.7536889524
REP,2021-01-07,19.5919374716,19.0832713036,21.5160431865,18.7240252785
REP,2021-01-08,18.0882329911,19.3583385603,19.7377393865,17.5741847936
REP,2021-01-09,19.7480206435,18.3771583991,19.8476449523,17.9440454563
REP,2021-01-10,20.3675254486,20.364777472,22.2780997473,18.8367778503
REP,2021-01-11,17.9092483717,20.6398849791,20.7008027431,16.7735219624
REP,2021-01-12,18.4765706164,18.2860324421,20.2634326322,17.8153149568
REP,2021-01-13,19.2388624677,18.2002917215,19.3805001499,17.8441081506
REP,2021-01-14,19.4432504305,19.3156377593,19.9212170897,18.9695712244
REP,2021-01-15,19.1544495423,19.496400345,20.3594745012,18.3648273575
REP,2021-01-16,19.853489132,19.1804172146,20.3044058198,19.1630000255
REP,2021-01-17,20.6092931144,20.028436609,21.2900427531,18.7291689556
REP,2021-01-18,21.2415357103,21.3782536721,21.8615763265,20.542535664
REP,2021-01-19,21.9403262951,21.4543074674,23.100495831,20.56750696
REP,2021-01-20,24.479106228,21.9957474523,28.6973861559,21.6859252062
REP,2021-01-21,19.8210899719,23.3365542493,24.8095078718,19.6563225645
REP,2021-01-22,20.8638940984,20.1449346305,21.975244801,18.6043858276
REP,2021-01-23,20.7808256478,20.4916993175,21.6618765382,20.018966211
REP,2021-01-24,20.5876697156,20.6585295033,21.2825961245,20.0964061216
REP,2021-01-25,20.0470741739,20.6235045466,21.0405012493,19.4430343137
REP,2021-01-26,19.7366595628,20.1190566469,20.1841137944,18.933951568
REP,2021-01-27,18.9684700752,20.8539747996,21.6223309226,18.9368373093
