Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DASH,2018-05-31,305.4615846324,309.4172821644,310.8867591077,303.8022507163
DASH,2018-06-01,313.2509226567,304.6007636372,313.6164622148,301.0502584995
DASH,2018-06-02,320.7238270682,315.1890103377,327.4186346601,308.7545225063
DASH,2018-06-03,330.4368716673,322.1431637259,336.4743593018,322.1412717533
DASH,2018-06-04,317.4750884339,329.2019332367,334.8512730769,310.5143065639
DASH,2018-06-05,317.7120426174,317.4750884339,321.7953127696,306.0265443262
DASH,2018-06-06,315.3509301,317.7459458,320.2377321,307.3296489
DASH,2018-06-07,315.589564,315.3509301,319.62175768,312.8802420602
DASH,2018-06-08,310.5807438,315.589564,317.43275934,302.02224
DASH,2018-06-09,297.50743027,310.5807438,312.3429876,295.560415
DASH,2018-06-10,269.81716443,297.50743027,297.7128671,267.736575
DASH,2018-06-11,268.2517513597,261.66771813,268.9672974367,257.8073368329
DASH,2018-06-12,260.0809223711,269.4074247663,275.6464332806,257.2228806789
DASH,2018-06-13,245.9261754732,260.0365189065,261.6749405619,239.571512673
DASH,2018-06-14,266.7676478646,244.9702693044,272.2195599456,244.7514063857
DASH,2018-06-15,255.438987117,266.2859950427,270.1273412781,254.4693223289
DASH,2018-06-16,268.2872442518,255.4390097303,269.1755657491,252.8567560479
DASH,2018-06-17,265.8688644079,266.553925368,272.2553347938,262.2014063608
DASH,2018-06-18,263.9191107954,264.0545401818,267.0120792184,250.3359408162
DASH,2018-06-19,261.1838543429,264.4178888302,270.8934034037,257.808196166
DASH,2018-06-20,264.6925598105,259.8442540007,266.5382572756,253.1372635086
DASH,2018-06-21,261.60164775,266.3435586778,269.1115964653,259.0992272728
DASH,2018-06-22,236.0383602867,261.5965153454,261.5965153454,231.4579971535
DASH,2018-06-23,244.0573198966,235.5958364657,247.7275091688,235.1350186286
DASH,2018-06-24,236.8737795987,244.0319273238,244.6164257532,224.6986719268
DASH,2018-06-25,240.1833253301,237.11735097,245.4971829514,235.1199437237
DASH,2018-06-26,232.02631463,240.1865380224,241.9518495623,227.5441926621
DASH,2018-06-27,228.8618145113,232.0431797479,233.114531538,223.2071789476
DASH,2018-06-28,219.2831657399,228.7445960488,230.43442421,218.4291594981
DASH,2018-06-29,236.7266757029,218.892352821,238.2090105177,216.4669024366
DASH,2018-06-30,235.9795822456,236.5616980314,245.5390949976,219.1648749791
DASH,2018-07-01,235.4068724487,239.8163735366,241.6583754883,230.4883180479
DASH,2018-07-02,250.653679912,235.368539399,255.3583397476,234.5097790814
