Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
FET,2020-11-11,0.0457283401,0.0474870455,0.0474911693,0.045192691
FET,2020-11-12,0.042105295,0.0448905218,0.0456112601,0.041344907
FET,2020-11-13,0.0464367669,0.0418082005,0.0483584952,0.0412628774
FET,2020-11-14,0.0437996429,0.0460264497,0.0463857447,0.0422557848
FET,2020-11-15,0.0419139097,0.0445449668,0.0454779536,0.0407423945
FET,2020-11-16,0.0431268016,0.0425088391,0.0447485428,0.0416557449
FET,2020-11-17,0.0505359579,0.042804189,0.0512210731,0.0426322295
FET,2020-11-18,0.0459467869,0.0451331591,0.0467151569,0.0445045351
FET,2020-11-19,0.0549126156,0.0464015303,0.0570500872,0.0458432382
FET,2020-11-20,0.0531300046,0.0530751701,0.0571968952,0.051069807
FET,2020-11-21,0.0577762519,0.05374213,0.0590109309,0.0509238225
FET,2020-11-22,0.0571084776,0.0583567529,0.0624672039,0.0515351752
FET,2020-11-23,0.0627957297,0.0541350775,0.0639318949,0.0527968642
FET,2020-11-24,0.0607817013,0.0631579335,0.0652804169,0.058251245
FET,2020-11-25,0.0608296169,0.0623379809,0.0684716196,0.0593367456
FET,2020-11-26,0.051005506,0.0595735169,0.0619627715,0.0459919367
FET,2020-11-27,0.0490056339,0.0498511655,0.0518885783,0.0457941032
FET,2020-11-28,0.051192655,0.0493997742,0.0522553492,0.0478665878
FET,2020-11-29,0.0497315517,0.0520912022,0.0522068428,0.0487134713
FET,2020-11-30,0.0504482437,0.0499333108,0.0518000421,0.0486012536
FET,2020-12-01,0.0496568967,0.0507085789,0.0537998549,0.0470960884
FET,2020-12-02,0.052941044,0.0490958998,0.0539890648,0.0481414064
FET,2020-12-03,0.0558434881,0.0527063018,0.0583704257,0.0524821146
FET,2020-12-04,0.0524036649,0.0554018637,0.0560336911,0.0520268808
FET,2020-12-05,0.0534208438,0.0502821045,0.0539210619,0.0492587577
FET,2020-12-06,0.0512483942,0.0534813152,0.0540920631,0.05109393
FET,2020-12-07,0.0527609401,0.0520721836,0.0539977538,0.0512463842
FET,2020-12-08,0.0484766836,0.0532405881,0.0536070288,0.048098807
FET,2020-12-09,0.048478478,0.0478648556,0.0488374947,0.0443134666
FET,2020-12-10,0.0504492008,0.048598047,0.0518665087,0.0462124839
FET,2020-12-11,0.0523144994,0.050258257,0.052717595,0.0469404573
FET,2020-12-12,0.0510336071,0.050926296,0.0542175564,0.0501520672
FET,2020-12-13,0.0521190608,0.0507695596,0.0530153376,0.0499888229
FET,2020-12-14,0.0529706702,0.0519469285,0.0554920969,0.0516494984
FET,2020-12-15,0.0525044476,0.0526280896,0.053634079,0.0507722929
FET,2020-12-16,0.0550773735,0.0520495928,0.0574818057,0.051302678
FET,2020-12-17,0.0567523482,0.055932955,0.0596150305,0.0538066223
FET,2020-12-18,0.0597425525,0.0570206051,0.0627515117,0.0555970443
FET,2020-12-19,0.0594571631,0.0599592437,0.0642022528,0.0583123876
FET,2020-12-20,0.0563261805,0.059024669,0.0603809632,0.0556752502
FET,2020-12-21,0.0532024784,0.0564861221,0.0581291086,0.0509773745
FET,2020-12-22,0.052964047,0.0529196481,0.0555644694,0.0491233154
FET,2020-12-23,0.0502886095,0.0538154235,0.0599149273,0.0471346732
FET,2020-12-24,0.0506501425,0.0504458506,0.0514014099,0.0466908658
FET,2020-12-25,0.052492342,0.0512595562,0.053098039,0.0484101445
FET,2020-12-26,0.0498983857,0.0520604141,0.0538516773,0.0480597103
FET,2020-12-27,0.0533063803,0.0503508949,0.0577929328,0.048253962
FET,2020-12-28,0.0549590412,0.0531017367,0.0578566352,0.0527874577
FET,2020-12-29,0.0513533022,0.0545007449,0.0591321516,0.0499360408
FET,2020-12-30,0.0524300083,0.0523186759,0.0535446345,0.0500875948
FET,2020-12-31,0.0515287789,0.0520402868,0.0544930968,0.0505930701
FET,2021-01-01,0.053504658,0.0516519526,0.0561410211,0.051497958
FET,2021-01-02,0.0510198117,0.0534072111,0.0551344814,0.0494884136
FET,2021-01-03,0.055213348,0.0512116246,0.0573470501,0.0496095385
FET,2021-01-04,0.0562809774,0.0562898344,0.0663869379,0.0510733074
FET,2021-01-05,0.0597590328,0.0572183936,0.06385163,0.0561162589
FET,2021-01-06,0.0713915845,0.0620267214,0.0762765323,0.0593401181
FET,2021-01-07,0.0707353137,0.0731670961,0.0836191049,0.0656971284
FET,2021-01-08,0.070269254,0.0711144573,0.0817784146,0.0600546772
FET,2021-01-09,0.0731478231,0.0709056548,0.0803604523,0.0701925123
FET,2021-01-10,0.0688759487,0.0725295362,0.0782240774,0.0621230545
FET,2021-01-11,0.0598134068,0.0697866098,0.0700785383,0.053781508
FET,2021-01-12,0.0591821775,0.0605241157,0.0640534768,0.0563800997
FET,2021-01-13,0.065382278,0.0587837233,0.0677664977,0.056094032
FET,2021-01-14,0.0749292375,0.066055479,0.076944926,0.0644732177
FET,2021-01-15,0.0859937739,0.0769381892,0.0889475358,0.0661309258
FET,2021-01-16,0.0831397108,0.0884988031,0.092538137,0.0804377249
FET,2021-01-17,0.1016545738,0.0846158299,0.1039181339,0.075685106
FET,2021-01-18,0.09596427,0.0948789943,0.100484342,0.0906594886
FET,2021-01-19,0.094603951,0.0968020733,0.1046207376,0.0897258578
FET,2021-01-20,0.0907393114,0.0911872059,0.099623468,0.0815519918
FET,2021-01-21,0.0812725055,0.0921177483,0.0926120484,0.0782852202
FET,2021-01-22,0.0902649231,0.0804963053,0.0961632586,0.073794494
FET,2021-01-23,0.0898489612,0.0895584378,0.0939724763,0.0848439841
FET,2021-01-24,0.0885285495,0.089328921,0.0940546174,0.0829359185
FET,2021-01-25,0.0826509844,0.0877877638,0.0911354828,0.0807775749
FET,2021-01-26,0.0952278559,0.0825704396,0.0997240814,0.0806619784
FET,2021-01-27,0.0892610423,0.0952380793,0.1028197385,0.0822160617
FET,2021-01-28,0.0909726332,0.0902378287,0.0964576424,0.0880274435
FET,2021-01-29,0.1102352011,0.0889087657,0.114924872,0.0884318901
FET,2021-01-30,0.1052727517,0.1119824385,0.1190907331,0.1028232928
FET,2021-01-31,0.097981901,0.1046368313,0.1047141804,0.0953269851
FET,2021-02-01,0.1094935172,0.0982492294,0.1147677739,0.0951785004
FET,2021-02-02,0.1084604092,0.108929192,0.1122300949,0.1050991055
FET,2021-02-03,0.1496739401,0.1102216175,0.155066389,0.1100000224
FET,2021-02-04,0.1469749735,0.1582128233,0.1587921524,0.1306429213
FET,2021-02-05,0.1844212027,0.148581046,0.1888471522,0.1473676124
FET,2021-02-06,0.1701469544,0.178495677,0.1799302639,0.1520807231
FET,2021-02-07,0.165269431,0.1702439329,0.1827301515,0.1594948935
FET,2021-02-08,0.2077099793,0.1821715996,0.2286964053,0.1785329835
FET,2021-02-09,0.2524489201,0.2145865876,0.2716499738,0.2069363369
FET,2021-02-10,0.2380337322,0.2516525607,0.276194514,0.2101131959
FET,2021-02-11,0.2336309323,0.2398385681,0.2566637363,0.218966233
FET,2021-02-12,0.2552175525,0.2357323523,0.2701556161,0.2234096262
FET,2021-02-13,0.2686956368,0.2521965076,0.2867290416,0.2269059693
FET,2021-02-14,0.2528882161,0.2645730805,0.287556965,0.2354600756
FET,2021-02-15,0.2499304104,0.2481092554,0.2695815996,0.1902736222
FET,2021-02-16,0.2245439255,0.2395837876,0.2556396083,0.2165561612
FET,2021-02-17,0.2371907361,0.2266863822,0.2490987481,0.2108482198
FET,2021-02-18,0.301430583,0.236336459,0.3260713542,0.2363289411
FET,2021-02-19,0.2901039443,0.3072487725,0.3170829955,0.2767693948
FET,2021-02-20,0.2691416364,0.2922806697,0.3189639866,0.2632402548
FET,2021-02-21,0.2924951907,0.2885890523,0.3181246262,0.2747200456
FET,2021-02-22,0.2746701182,0.2962213525,0.2987287261,0.2222043923
FET,2021-02-23,0.2212816564,0.2753483461,0.2769517056,0.1740341063
FET,2021-02-24,0.2281369166,0.2239878493,0.268664664,0.2072810436
FET,2021-02-25,0.2432365753,0.2332045937,0.2634400009,0.2233424218
FET,2021-02-26,0.2224869634,0.2259480143,0.2433169586,0.200085762
FET,2021-02-27,0.2839277127,0.2251518016,0.2927810871,0.2250226401
FET,2021-02-28,0.2444823799,0.2760083326,0.2786767896,0.221226383
FET,2021-03-01,0.2792883012,0.2471772419,0.2884139401,0.243661319
FET,2021-03-02,0.3057230199,0.2793924433,0.3162536444,0.2698785775
FET,2021-03-03,0.3391196759,0.3124140753,0.360116093,0.3025941015
FET,2021-03-04,0.3292946215,0.3642362527,0.3726396703,0.3180631597
FET,2021-03-05,0.3915332603,0.3235258113,0.4004978382,0.3037591913
FET,2021-03-06,0.3798740266,0.3743173802,0.4204451348,0.3489106981
FET,2021-03-07,0.3830666627,0.383392712,0.3858878304,0.3526974252
FET,2021-03-08,0.4405839909,0.3723005255,0.4437474815,0.3684241516
FET,2021-03-09,0.4340340368,0.443691848,0.4854607703,0.4253082281
FET,2021-03-10,0.4623481663,0.4294284061,0.4953801978,0.3945779506
FET,2021-03-11,0.441550777,0.4544743347,0.4693638443,0.4133664496
FET,2021-03-12,0.5281880477,0.4416520243,0.5417838781,0.432509024
FET,2021-03-13,0.6124188718,0.5260635706,0.6391999685,0.5002030614
FET,2021-03-14,0.6713166874,0.6182283037,0.7505475839,0.606235999
FET,2021-03-15,0.6509648244,0.6873918166,0.7197760403,0.586603239
FET,2021-03-16,0.6320980239,0.6468788142,0.6650608883,0.5624544498
FET,2021-03-17,0.6535597814,0.6154076712,0.6807685215,0.5953994173
FET,2021-03-18,0.6107734459,0.6577333655,0.6677786581,0.583800588
FET,2021-03-19,0.609269415,0.5945763675,0.6495947894,0.5691234872
