Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ICX,2020-11-11,0.3703117175,0.3702935312,0.381197997,0.3611100751
ICX,2020-11-12,0.3676975094,0.3617358769,0.3970086598,0.3557905689
ICX,2020-11-13,0.3694582991,0.3654571435,0.3784552843,0.3622253226
ICX,2020-11-14,0.3536651171,0.3743557962,0.375295044,0.3498586937
ICX,2020-11-15,0.3395662528,0.3526192623,0.3628590213,0.3317659831
ICX,2020-11-16,0.3514249091,0.3413484125,0.35772126,0.3356365654
ICX,2020-11-17,0.3623315551,0.3532293068,0.3667575585,0.3518136875
ICX,2020-11-18,0.3458140596,0.3436901516,0.3478251753,0.3408281369
ICX,2020-11-19,0.3455120227,0.3474611182,0.3493993772,0.3359254694
ICX,2020-11-20,0.3595893676,0.3459227006,0.366397245,0.3443917019
ICX,2020-11-21,0.3907442005,0.362323759,0.4070360619,0.3622347266
ICX,2020-11-22,0.3998704719,0.4055596383,0.4099385095,0.3688748711
ICX,2020-11-23,0.4358254374,0.3882250362,0.4363297939,0.3765576507
ICX,2020-11-24,0.4550032845,0.4374756013,0.4989121808,0.4185668549
ICX,2020-11-25,0.4681411988,0.4659521839,0.5433515168,0.4536698111
ICX,2020-11-26,0.4120254911,0.4720240338,0.4869165255,0.3750122884
ICX,2020-11-27,0.3909477858,0.4042761042,0.421933704,0.3777186361
ICX,2020-11-28,0.4141400119,0.3975344828,0.4261872001,0.3888186742
ICX,2020-11-29,0.4046148635,0.4084811656,0.4258703579,0.3990131424
ICX,2020-11-30,0.4439007607,0.4083699765,0.4474393305,0.4036256426
ICX,2020-12-01,0.4216139686,0.4393390455,0.464558268,0.4027588956
ICX,2020-12-02,0.4366353317,0.4184665909,0.4440885764,0.4099825763
ICX,2020-12-03,0.4402864862,0.4374455001,0.4488405079,0.4280511703
ICX,2020-12-04,0.3967506146,0.4404908139,0.4415554328,0.3964505773
ICX,2020-12-05,0.4143759365,0.3992665263,0.4241269477,0.3932882853
ICX,2020-12-06,0.4079017181,0.4230319293,0.4257524855,0.4043147334
ICX,2020-12-07,0.4201047035,0.413871723,0.4290784687,0.4089663691
ICX,2020-12-08,0.3877036803,0.4220643731,0.4251166137,0.3854680083
ICX,2020-12-09,0.3902924866,0.3882958113,0.3930767819,0.3689812103
ICX,2020-12-10,0.3831921885,0.3885405651,0.3906867007,0.372668864
ICX,2020-12-11,0.3652194701,0.3795839516,0.3808593332,0.3565071486
ICX,2020-12-12,0.3854016684,0.3606274607,0.3868724156,0.3605560438
ICX,2020-12-13,0.3848363934,0.3841121541,0.3933302735,0.3810416749
ICX,2020-12-14,0.4171070591,0.3868704885,0.4243085321,0.3728986917
ICX,2020-12-15,0.4044222447,0.4051447547,0.4170832185,0.3972404055
ICX,2020-12-16,0.4199866492,0.4003179071,0.426697148,0.3885854642
ICX,2020-12-17,0.410166333,0.4252989499,0.4301345835,0.4052296527
ICX,2020-12-18,0.4323033548,0.4087636598,0.4396965897,0.4017003706
ICX,2020-12-19,0.4330485782,0.4338982232,0.4478561044,0.4277837787
ICX,2020-12-20,0.4242435294,0.4335931944,0.4537903263,0.4183534788
ICX,2020-12-21,0.4053801849,0.42768114,0.4521019311,0.3951076275
ICX,2020-12-22,0.3922016068,0.4004370964,0.4058481702,0.3778372579
ICX,2020-12-23,0.3494145139,0.3960026692,0.4011366217,0.3238374829
ICX,2020-12-24,0.3773411141,0.3527974207,0.3773531953,0.3452066945
ICX,2020-12-25,0.4011747153,0.3781677821,0.4367183404,0.3736878063
ICX,2020-12-26,0.4160626933,0.4036340705,0.4312250114,0.4001230447
ICX,2020-12-27,0.4000613035,0.4158357902,0.4392027445,0.3954794762
ICX,2020-12-28,0.4377923155,0.4006031167,0.45379471,0.3943460538
ICX,2020-12-29,0.4506643327,0.448552038,0.4613037432,0.4176053292
ICX,2020-12-30,0.4749646645,0.4666040687,0.4928756241,0.4572951049
ICX,2020-12-31,0.4627418665,0.4728123361,0.4757045115,0.4418498599
ICX,2021-01-01,0.4479534253,0.4664847644,0.4734414412,0.4391951823
ICX,2021-01-02,0.4338093371,0.4498761833,0.4600323241,0.4196738216
ICX,2021-01-03,0.4694056289,0.432204091,0.4874886344,0.4287543577
ICX,2021-01-04,0.5009166621,0.4825285898,0.5139247279,0.4506209631
ICX,2021-01-05,0.5393028891,0.5227173616,0.569946092,0.4786959325
ICX,2021-01-06,0.6329458726,0.5483745522,0.6570511732,0.5337712825
ICX,2021-01-07,0.5850814679,0.6256982601,0.6361069486,0.5545099938
ICX,2021-01-08,0.5967821276,0.5735305839,0.6386729842,0.5234761391
ICX,2021-01-09,0.6904727725,0.6267514747,0.7064758304,0.5983367498
ICX,2021-01-10,0.6321246256,0.6836775308,0.711984554,0.5627767897
ICX,2021-01-11,0.6020066223,0.6333148009,0.6353492222,0.524554416
ICX,2021-01-12,0.5687412153,0.6055156792,0.6417185832,0.5443526348
ICX,2021-01-13,0.6289037169,0.5702903407,0.6423662657,0.5461831592
ICX,2021-01-14,0.585559944,0.6269524438,0.6356886772,0.5826422996
ICX,2021-01-15,0.6140795558,0.601396702,0.6559261088,0.554102734
ICX,2021-01-16,0.6578251899,0.610984689,0.7192343419,0.6065145255
ICX,2021-01-17,0.6752109905,0.6607241046,0.6837171949,0.6102717866
ICX,2021-01-18,0.7266466292,0.662525323,0.7785966144,0.6441448894
ICX,2021-01-19,0.7054299788,0.7453568101,0.7724660008,0.6823163666
ICX,2021-01-20,0.7511371821,0.6960962581,0.7514868034,0.6389516686
ICX,2021-01-21,0.7109379616,0.8042089484,0.8854633567,0.6990643923
ICX,2021-01-22,0.7294830325,0.6981833009,0.7610300349,0.6332838124
ICX,2021-01-23,0.728487459,0.708071914,0.7597993118,0.6993559089
ICX,2021-01-24,0.7629819057,0.7287598899,0.793136859,0.7216015255
ICX,2021-01-25,0.8289671339,0.7613125473,0.9298735856,0.7461993001
ICX,2021-01-26,0.8940414145,0.8094897907,0.9400034622,0.7977923856
ICX,2021-01-27,0.7997422242,0.8951393524,0.9080909888,0.7703616132
ICX,2021-01-28,0.8258232234,0.8003197432,0.8572123157,0.7831230594
ICX,2021-01-29,0.8073774601,0.8182706718,0.8678908442,0.7894968098
ICX,2021-01-30,0.7615294461,0.8035861403,0.8099138558,0.7487698116
ICX,2021-01-31,0.7164738626,0.7658072421,0.7884904301,0.7062853762
ICX,2021-02-01,0.7711475715,0.7214007273,0.7900997682,0.6874519215
ICX,2021-02-02,0.7907412602,0.76755189,0.8025429461,0.7552940581
ICX,2021-02-03,0.8085539442,0.7892736113,0.827743908,0.7813016355
ICX,2021-02-04,0.7666014331,0.8072506475,0.8107042718,0.7320123719
ICX,2021-02-05,0.8209484504,0.7621121074,0.8347926591,0.7620999853
ICX,2021-02-06,0.8169359852,0.833079787,0.8358226929,0.7637006714
ICX,2021-02-07,0.8060603641,0.8267098044,0.9212033955,0.7735582194
ICX,2021-02-08,0.851779893,0.8260307995,0.8627738258,0.7985464813
ICX,2021-02-09,0.9547191049,0.847191003,0.9623187347,0.8319503336
ICX,2021-02-10,1.3373619989,0.9415137355,1.3932094747,0.8563811333
ICX,2021-02-11,1.2812199474,1.2295199173,1.5189139602,1.1826264729
ICX,2021-02-12,1.4690983614,1.3307862017,1.5377373348,1.203085233
ICX,2021-02-13,1.5970449355,1.428183614,1.7096891122,1.3579889676
ICX,2021-02-14,1.5099237655,1.6188355791,1.6899241316,1.4016702965
ICX,2021-02-15,1.7887178421,1.4670310619,1.9168555305,1.2144269115
ICX,2021-02-16,1.6575252491,1.7714074879,1.9331874062,1.593620066
ICX,2021-02-17,1.8921222022,1.7270839828,1.9771066781,1.6369268945
ICX,2021-02-18,2.1956084535,1.9659191807,2.3433182347,1.801273515
ICX,2021-02-19,2.2457738229,2.2635919846,2.4666181678,2.0955960611
ICX,2021-02-20,1.9820676979,2.27659916,2.2836969511,1.9323203005
ICX,2021-02-21,1.994129164,2.0486105008,2.1771218837,1.9742590744
ICX,2021-02-22,1.8093723275,2.0387901322,2.0481685785,1.4764403472
ICX,2021-02-23,1.3921454188,1.8137883822,1.8254515275,1.1698632333
ICX,2021-02-24,1.6052878486,1.4566012301,1.9074946797,1.3537812327
ICX,2021-02-25,1.6219002442,1.6729306028,1.8497778832,1.5590675558
ICX,2021-02-26,1.4638131384,1.5408713939,1.6401640261,1.4051837931
ICX,2021-02-27,1.5699533866,1.4852956159,1.6269348479,1.4782219189
ICX,2021-02-28,1.3863199275,1.5303301723,1.5459701254,1.3014561276
ICX,2021-03-01,1.649772686,1.3945556281,1.7288897158,1.3881933239
ICX,2021-03-02,1.6164971427,1.6725345532,1.7619951433,1.5578916002
ICX,2021-03-03,1.7942309481,1.6639666688,1.8332158165,1.6451845723
ICX,2021-03-04,1.9373607682,1.7805262074,2.3163396633,1.7086451294
ICX,2021-03-05,1.8608160097,1.941085929,1.9415794814,1.7369123681
ICX,2021-03-06,1.8402618384,1.8613867995,1.8833356312,1.7182801343
ICX,2021-03-07,1.9288456358,1.8409601942,1.9653994511,1.8409601942
ICX,2021-03-08,1.8699384784,1.9569230168,1.9911115269,1.7937748528
ICX,2021-03-09,1.9517589052,1.8894074548,2.1180732714,1.838564935
ICX,2021-03-10,1.8709447595,1.9822299556,1.988755775,1.801156515
ICX,2021-03-11,1.8806623375,1.8613162241,1.978769066,1.8022883253
ICX,2021-03-12,1.7796679509,1.8858857782,1.904636848,1.7322000312
ICX,2021-03-13,1.8220662782,1.7954553398,1.8675715655,1.7012210729
ICX,2021-03-14,1.7807489779,1.8294760985,1.8337985869,1.7194211059
ICX,2021-03-15,1.9688982434,1.7378355757,2.1326274947,1.6037102958
ICX,2021-03-16,1.8869455654,1.9446380175,1.9961135555,1.8007908147
ICX,2021-03-17,1.8954916074,1.9209123668,1.954909585,1.7953310865
ICX,2021-03-18,1.897915545,1.8751093988,1.9902806745,1.8216345636
ICX,2021-03-19,1.9996202588,1.8673534828,2.0834566766,1.8124108598
