Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
IOTA,2018-05-31,1.7256293047,1.7514017037,1.7663813236,1.7148578423
IOTA,2018-06-01,1.8978077191,1.7465052032,1.9078024212,1.716848855
IOTA,2018-06-02,1.9047378547,1.9122889468,1.9407444195,1.8545987161
IOTA,2018-06-03,1.809140457,1.9018180333,1.9991455785,1.7859409543
IOTA,2018-06-04,1.7394607118,1.8133500404,1.847200854,1.7041033182
IOTA,2018-06-05,1.7518685544,1.7394612729,1.7764399895,1.6793555568
IOTA,2018-06-06,1.6944068674,1.7421558462,1.7630771456,1.6381433378
IOTA,2018-06-07,1.6916326,1.6944068674,1.7424876797,1.6766138076
IOTA,2018-06-08,1.7047806558,1.6916326,1.735938,1.663378336
IOTA,2018-06-09,1.6492528707,1.7047806558,1.7485276203,1.6438796
IOTA,2018-06-10,1.3747791486,1.6492528707,1.6492528707,1.312647688
IOTA,2018-06-11,1.4116814115,1.337951792,1.4256849389,1.3341714164
IOTA,2018-06-12,1.2714951992,1.4447114891,1.4451349434,1.2578607694
IOTA,2018-06-13,1.2145892881,1.2714863821,1.2984566657,1.1485710759
IOTA,2018-06-14,1.2682195564,1.2106619726,1.3151603294,1.1834690751
IOTA,2018-06-15,1.1801772385,1.2712289744,1.289621892,1.176558802
IOTA,2018-06-16,1.2080871309,1.1801772521,1.2283041501,1.1645417312
IOTA,2018-06-17,1.1790381337,1.1954819686,1.2119683668,1.1734952129
IOTA,2018-06-18,1.1596067626,1.1661510717,1.1850051173,1.1014274915
IOTA,2018-06-19,1.1954822723,1.1602757246,1.2168132848,1.1416135575
IOTA,2018-06-20,1.1984401743,1.1957607796,1.207365626,1.1648517782
IOTA,2018-06-21,1.1158207813,1.2073086905,1.2073428503,1.1098552242
IOTA,2018-06-22,1.1582292329,1.1158178225,1.1870621317,1.11557714
IOTA,2018-06-23,1.0252716285,1.1573202509,1.1667031289,0.9921655634
IOTA,2018-06-24,1.0786183413,1.0252717841,1.0965393204,0.9335727485
IOTA,2018-06-25,1.0130951612,1.0696903006,1.0697021233,0.9331494708
IOTA,2018-06-26,0.9613537692,1.013764952,1.019330218,0.9553189411
IOTA,2018-06-27,0.9894307073,0.9609330077,0.9998489158,0.930680367
IOTA,2018-06-28,0.93546527,0.9900089532,1.0028444984,0.9228840107
IOTA,2018-06-29,0.9735110328,0.9351780472,0.9782545796,0.8977370121
IOTA,2018-06-30,0.9850861448,0.9729207449,1.0230280222,0.958889649
IOTA,2018-07-01,1.0548223811,1.0082311602,1.0555239783,0.9894490446
IOTA,2018-07-02,1.1654467785,1.0548674344,1.1814289924,1.0333570832
IOTA,2018-07-03,1.1302633911,1.1651129233,1.2150136224,1.1278002918
IOTA,2018-07-04,1.2017730635,1.1388639776,1.2353134174,1.1106547469
IOTA,2018-07-05,1.1523455994,1.2029523516,1.2055204797,1.1159306188
IOTA,2018-07-06,1.0578855161,1.1520226,1.1585395106,1.0371163241
IOTA,2018-07-07,1.0534574323,1.0543862347,1.0917487877,1.0333989836
IOTA,2018-07-08,1.0964066979,1.0543153388,1.1271642172,1.0536291468
IOTA,2018-07-09,1.0576497771,1.0964049644,1.0975870513,1.0533240017
IOTA,2018-07-10,0.9882661751,1.0571497428,1.0585940734,0.9569847304
IOTA,2018-07-11,0.9923943018,0.9601793289,1.0008210353,0.9481803907
IOTA,2018-07-12,0.9411689906,0.9920880713,1.0012770391,0.9355864393
IOTA,2018-07-13,0.960705,0.96561445,0.996467186,0.955143136
IOTA,2018-07-14,0.9726854269,0.9624297355,0.9860222028,0.951686086
IOTA,2018-07-15,1.0087949073,0.9726869375,1.0126751289,0.9672649052
IOTA,2018-07-16,1.0728094287,0.9990432841,1.0904803772,0.9851918979
IOTA,2018-07-17,1.1168953566,1.0728115489,1.1548773656,1.0511267503
IOTA,2018-07-18,1.0916465466,1.1169534213,1.1665100303,1.0685756432
IOTA,2018-07-19,1.0504497976,1.0916407113,1.0957315903,1.0355587256
IOTA,2018-07-20,0.9675732904,1.050820781,1.0567586926,0.9507353029
IOTA,2018-07-21,1.0120571194,0.9684049465,1.0194692789,0.9464891469
IOTA,2018-07-22,0.9800058819,1.0127267282,1.0130386995,0.9697633908
IOTA,2018-07-23,0.9566093158,0.9787058636,1.0120062182,0.9492525151
IOTA,2018-07-24,0.9797292429,0.9566408563,0.997174154,0.9187047175
IOTA,2018-07-25,0.9978647588,0.9796473353,1.0126305405,0.9647098926
IOTA,2018-07-26,1.0171583162,0.9980844259,1.0589727233,0.9865693335
IOTA,2018-07-27,1.0187244742,1.0194802387,1.0330316222,0.9730239716
IOTA,2018-07-28,1.0215100478,1.020871009,1.0281411061,0.9985877857
IOTA,2018-07-29,1.0077384201,1.0215178801,1.0367644433,1.0060844767
IOTA,2018-07-30,0.9752649327,1.0106725525,1.013840296,0.9486440212
IOTA,2018-07-31,0.9353157983,0.9753699644,0.987953085,0.9299686209
IOTA,2018-08-01,0.9245423804,0.9428052964,0.9465708011,0.9003803551
IOTA,2018-08-02,0.8904032003,0.9245428472,0.9315721076,0.8790725275
IOTA,2018-08-03,0.9491171554,0.8857395221,0.9635129258,0.7835114507
IOTA,2018-08-04,0.8731092532,0.9491815267,0.9749587894,0.8497968187
IOTA,2018-08-05,0.9084653133,0.8647669546,0.9784641993,0.8621648158
IOTA,2018-08-06,0.8203207307,0.9083988751,0.9253285993,0.8010411734
IOTA,2018-08-07,0.7390862912,0.8203354035,0.825300021,0.7284624246
IOTA,2018-08-08,0.6103884654,0.733851711,0.7345635025,0.6087331184
IOTA,2018-08-09,0.6561275988,0.6114638078,0.6719356148,0.600783879
IOTA,2018-08-10,0.5748311587,0.6556184516,0.6563386036,0.5686331624
