Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
KAVA,2020-11-11,1.5248690485,1.616348654,1.6186918911,1.5160672637
KAVA,2020-11-12,1.4429162275,1.4781886303,1.5311293286,1.3981310436
KAVA,2020-11-13,1.536703681,1.4388746963,1.5470506974,1.4325000016
KAVA,2020-11-14,1.4536761707,1.5185167776,1.5311988025,1.4061269521
KAVA,2020-11-15,1.4573665765,1.4542805526,1.5479031125,1.4355722449
KAVA,2020-11-16,1.7815072688,1.4803273019,1.7984908426,1.463682359
KAVA,2020-11-17,1.8482951234,1.7151675919,1.9968130501,1.6894712088
KAVA,2020-11-18,1.7023936685,1.6575975257,1.703371113,1.6356727208
KAVA,2020-11-19,1.7299133416,1.7183119495,1.7992511923,1.6052493692
KAVA,2020-11-20,1.8012539286,1.6929402501,1.8793231937,1.6869874819
KAVA,2020-11-21,1.904693218,1.7989619592,2.0559164997,1.7785961533
KAVA,2020-11-22,1.8919758603,1.9621744171,2.0087106373,1.7244160903
KAVA,2020-11-23,1.9986222722,1.8244082631,2.0128248242,1.7966245875
KAVA,2020-11-24,1.952752085,1.9625228978,2.166660098,1.8757948896
KAVA,2020-11-25,1.9066544301,1.9871159135,2.1136971958,1.8991160663
KAVA,2020-11-26,1.6167784415,1.8968826993,1.9510059566,1.4698516228
KAVA,2020-11-27,1.5420402222,1.6153108174,1.6462564588,1.5025333132
KAVA,2020-11-28,1.6263629767,1.5737858042,1.6753975322,1.5369512505
KAVA,2020-11-29,1.6479022987,1.6244373838,1.7012680014,1.5865810664
KAVA,2020-11-30,1.6741468809,1.6543068761,1.7056799768,1.6051635356
KAVA,2020-12-01,1.6668866275,1.6806196654,1.8132339132,1.5713597469
KAVA,2020-12-02,1.7349834159,1.6455035868,1.7871283032,1.6178033585
KAVA,2020-12-03,1.7725544005,1.7479766184,1.8412736146,1.7465691494
KAVA,2020-12-04,1.6126317276,1.8176413476,1.820971748,1.6126317276
KAVA,2020-12-05,1.7011021654,1.5912902376,1.7307135431,1.5676293393
KAVA,2020-12-06,1.6365087599,1.7187317796,1.7252522636,1.6125599729
KAVA,2020-12-07,1.6770957486,1.6660908589,1.6838514815,1.6187611614
KAVA,2020-12-08,1.5418267096,1.6845589148,1.6933940237,1.5411798315
KAVA,2020-12-09,1.5433353259,1.5361814943,1.5577472414,1.4387950689
KAVA,2020-12-10,1.5093710444,1.5423805046,1.5512484763,1.4659015979
KAVA,2020-12-11,1.489525477,1.5008949235,1.5061466829,1.4142019018
KAVA,2020-12-12,1.5261274124,1.4736869657,1.5316106373,1.4735319743
KAVA,2020-12-13,1.5548060773,1.519486949,1.6081506116,1.5088547178
KAVA,2020-12-14,1.608731596,1.5537653737,1.6102890164,1.5134256295
KAVA,2020-12-15,1.5773207671,1.6061689453,1.6236689531,1.5672940793
KAVA,2020-12-16,1.6357669626,1.5768054233,1.6443739526,1.5352159085
KAVA,2020-12-17,1.6070486918,1.6375935386,1.6807752639,1.5797944096
KAVA,2020-12-18,1.6067663721,1.6011274331,1.6281674966,1.5634203941
KAVA,2020-12-19,1.6567444933,1.621936657,1.7281978126,1.6194654152
KAVA,2020-12-20,1.5707488761,1.6396368853,1.6812734304,1.5615020167
