Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
KNC,2020-10-16,0.8971371597,0.9231485998,0.9237971106,0.892798493
KNC,2020-10-17,0.9165162353,0.8981695355,0.9296460318,0.8868171729
KNC,2020-10-18,0.9305693013,0.9199523149,0.9324238954,0.9122491922
KNC,2020-10-19,0.9085535168,0.9346995444,0.9356390045,0.9044111286
KNC,2020-10-20,0.8624195061,0.9098764503,0.9122015361,0.8604702663
KNC,2020-10-21,0.9359928625,0.8639106604,0.9407533346,0.8631114969
KNC,2020-10-22,0.9551595724,0.9312490803,0.9824474582,0.9294991247
KNC,2020-10-23,0.9270097764,0.9436995274,0.9504598401,0.9140764129
KNC,2020-10-24,0.9298278138,0.9342219592,0.9493043822,0.9147798292
KNC,2020-10-25,0.9040182898,0.9298742856,0.9421071069,0.9029647126
KNC,2020-10-26,0.8943949788,0.9038021769,0.9357159764,0.8784299137
KNC,2020-10-27,0.8952447408,0.8932161882,0.9140218482,0.8834451926
KNC,2020-10-28,0.8574543687,0.9073741572,0.9075376731,0.8435565292
KNC,2020-10-29,0.8137352915,0.8587292891,0.8695649167,0.8131281376
KNC,2020-10-30,0.8012898101,0.8167321135,0.826945054,0.7692953678
KNC,2020-10-31,0.7936557849,0.79939387,0.8157666169,0.7921245099
KNC,2020-11-01,0.799143596,0.7876974055,0.8053591772,0.7779967383
KNC,2020-11-02,0.7760249835,0.7920681847,0.8101534408,0.7632454601
KNC,2020-11-03,0.7414743386,0.7773160093,0.7774886495,0.7274168852
KNC,2020-11-04,0.7069176723,0.7414139,0.7426249348,0.6950081233
KNC,2020-11-05,0.7445837024,0.7077608387,0.7516829155,0.6861157798
KNC,2020-11-06,0.8072721731,0.7595737785,0.8235483837,0.756726659
KNC,2020-11-07,0.7783143251,0.8147089671,0.8902130814,0.7570496313
KNC,2020-11-08,0.8191603572,0.7782475267,0.8416042791,0.7698749164
KNC,2020-11-09,0.8091163331,0.8184774438,0.8495538489,0.792340245
KNC,2020-11-10,0.8604403129,0.8112029639,0.8868547227,0.8076414857
KNC,2020-11-11,0.9187346322,0.8794847771,0.9778190447,0.8794385114
KNC,2020-11-12,0.8629702616,0.8909054605,0.9187748759,0.847261772
KNC,2020-11-13,0.9238542099,0.8623992506,0.9427947191,0.8604253612
KNC,2020-11-14,0.8901277781,0.9247043063,0.9283470606,0.8650078181
KNC,2020-11-15,0.8822177812,0.8940456154,0.9493406037,0.8688797232
KNC,2020-11-16,0.9410141816,0.8908222687,0.9590274436,0.8817811853
KNC,2020-11-17,0.9501140882,0.9482948407,0.9811663245,0.9309621689
KNC,2020-11-18,0.9285330545,0.9873988292,0.9983737257,0.8714977989
KNC,2020-11-19,0.9192039006,0.9265092475,0.9550871171,0.9128773575
KNC,2020-11-20,0.9267949274,0.9122072935,0.9624475803,0.9063577249
KNC,2020-11-21,1.0007009793,0.9405780407,1.0282625477,0.9370203817
KNC,2020-11-22,1.0492984022,1.0554816446,1.0733731967,0.9642523304
KNC,2020-11-23,1.0948681657,1.0211705919,1.1255728079,0.9897488673
KNC,2020-11-24,1.0968351668,1.1090084222,1.1848547615,1.0547350381
KNC,2020-11-25,1.1615417455,1.1314098875,1.3459475552,1.1242577884
KNC,2020-11-26,0.9799282046,1.1576213405,1.197778673,0.8895630981
KNC,2020-11-27,0.9559541256,0.9821261562,1.0131141695,0.9256561145
KNC,2020-11-28,1.0290383377,0.964144934,1.0444970335,0.9370196604
KNC,2020-11-29,1.0154684343,1.0142994968,1.0411878629,0.9864533368
KNC,2020-11-30,1.0607074656,1.0218758943,1.0941242422,1.009743518
KNC,2020-12-01,1.0004374226,1.0569519364,1.1056801111,0.9551025866
KNC,2020-12-02,1.0209174664,0.9886245229,1.0249065869,0.9756332568
KNC,2020-12-03,1.0144682331,1.0257726556,1.0677806422,1.0059948146
KNC,2020-12-04,0.9451252512,1.0125956122,1.0453838667,0.9449014511
KNC,2020-12-05,0.9612912276,0.9290417828,0.9832800125,0.9197549764
KNC,2020-12-06,0.9677206058,0.9742842956,0.9901995517,0.9542575691
KNC,2020-12-07,0.9490486361,0.976018973,0.9768899305,0.9398518779
KNC,2020-12-08,0.9037015271,0.9540310536,0.9547398543,0.8960143314
KNC,2020-12-09,0.8940401153,0.8921794737,0.9057376265,0.8372001093
KNC,2020-12-10,0.8676449863,0.895218092,0.9100146498,0.8518597532
KNC,2020-12-11,0.8818605545,0.8641757943,0.884171394,0.8363294314
KNC,2020-12-12,0.8978889027,0.8680145966,0.9127571212,0.8640929718
KNC,2020-12-13,0.919989802,0.8937874337,0.9423987329,0.8872684082
KNC,2020-12-14,0.9105266145,0.9210661865,0.9298802207,0.9015185762
KNC,2020-12-15,0.9350659728,0.9094450176,0.9398374727,0.9046338965
KNC,2020-12-16,0.9263829274,0.9499487399,0.9515862062,0.9040882179
