Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
MKR,2020-11-11,554.3905472717,559.220805552,567.7322742417,541.6292771601
MKR,2020-11-12,538.9935297178,544.0581143894,551.6660585897,524.6888217076
MKR,2020-11-13,551.8043340134,534.1898617268,554.9271587575,531.3512247421
MKR,2020-11-14,529.3697436428,555.6714403653,557.0425126296,520.2176779702
MKR,2020-11-15,511.6545012865,529.5424186725,535.0619093341,500.829104894
MKR,2020-11-16,515.7118596838,516.2885213161,529.7778192955,508.3847622269
MKR,2020-11-17,524.6698066574,518.1301501178,529.5254099946,511.8546571337
MKR,2020-11-18,511.8901457797,513.7171559368,517.9523155374,507.2177811686
MKR,2020-11-19,508.8630026573,510.3939964001,526.2850100194,500.9777757458
MKR,2020-11-20,517.8569287927,509.8407987348,526.331652846,508.0315478225
MKR,2020-11-21,540.1559239604,516.1952012437,551.6615897404,515.9495515379
MKR,2020-11-22,575.9643525439,551.2638612874,583.0905831089,519.3245737494
MKR,2020-11-23,606.483175325,562.6046135458,606.6603688184,547.253440304
MKR,2020-11-24,600.2880391935,601.9863567393,617.6657091588,579.2504811177
MKR,2020-11-25,567.89886312,600.3101213932,613.4637182659,566.2556954608
MKR,2020-11-26,530.4201198042,561.9897416003,570.4917100151,491.6724229041
MKR,2020-11-27,511.0871315178,527.1866018669,541.4129236211,508.5603482816
MKR,2020-11-28,533.6534906292,514.7770490033,534.8999829524,510.2679617527
MKR,2020-11-29,538.9415219307,531.0322376144,548.0510045056,523.1648322235
MKR,2020-11-30,564.8064098143,546.3285268027,580.8644826254,535.549824082
MKR,2020-12-01,536.0831182148,568.0371007946,570.1737462602,520.8569379278
MKR,2020-12-02,558.4182392995,529.5582567506,564.9523238672,523.0512621077
MKR,2020-12-03,589.4681577335,560.8624477595,598.8191815036,557.4624346745
MKR,2020-12-04,529.6937972802,592.8809347773,599.3921672443,529.6937972802
MKR,2020-12-05,521.0588195364,524.877209591,538.572054872,519.5631449031
MKR,2020-12-06,524.2141709454,533.7011252604,537.4247486523,511.0381755043
MKR,2020-12-07,517.8796204161,528.8558613535,529.905309549,511.1419006547
MKR,2020-12-08,502.3895907849,519.0070044363,524.1506137761,498.3302555206
MKR,2020-12-09,496.8626149177,502.8148451964,505.6686866354,472.6292281826
MKR,2020-12-10,529.8402446074,506.8741535079,530.2608150808,490.8572940419
MKR,2020-12-11,509.8365170496,522.3174354925,523.0360028267,500.8120784435
MKR,2020-12-12,512.3155080563,503.1543340001,525.2720941328,502.5719571903
MKR,2020-12-13,522.0739098744,514.5970553047,530.9367661823,511.5043190984
MKR,2020-12-14,538.4586917661,526.2754794641,539.590736199,520.3411845355
MKR,2020-12-15,532.9697554555,538.9396117575,544.8869801057,529.4042639388
MKR,2020-12-16,538.4611851559,529.1771987936,538.4611851559,513.962009941
MKR,2020-12-17,540.223780396,539.6586186592,564.9528979166,530.7930666815
MKR,2020-12-18,565.7574481502,538.7636782882,570.5454853097,531.0843387738
MKR,2020-12-19,573.070752488,570.0356229037,581.7179639498,564.1318199414
MKR,2020-12-20,543.9179387671,567.1585966575,570.1041585859,540.8289508015
MKR,2020-12-21,531.6181376949,545.8424972257,553.8623280806,511.3494295293
MKR,2020-12-22,541.6769440842,524.6782773084,547.4632843541,518.2683281155
MKR,2020-12-23,512.0725718781,549.3400360484,552.3583595109,485.7664689159
MKR,2020-12-24,524.781995047,517.715887157,525.5707690178,495.7622758289
MKR,2020-12-25,533.0550228348,526.1113438648,573.5742151321,518.917417307
MKR,2020-12-26,543.7655273379,535.7626259702,551.172855932,522.6148823209
MKR,2020-12-27,561.7355610126,544.6078136708,576.4968309702,530.3812384875
MKR,2020-12-28,576.2938270064,569.271675613,599.3358384093,559.8429098653
MKR,2020-12-29,562.0246655367,584.1820589422,594.0579222052,545.3767144396
MKR,2020-12-30,574.8942541217,564.2751431344,584.301298029,550.5200991795
MKR,2020-12-31,588.0683681509,577.2291817907,589.1977851414,559.1282049372
MKR,2021-01-01,579.1814258536,586.1091795792,600.3781450044,573.9390706918
MKR,2021-01-02,605.2188526938,582.0636028545,616.7691818863,569.3577763173
MKR,2021-01-03,684.6569033069,609.6703212718,696.3172458575,607.1643573156
MKR,2021-01-04,675.9631978946,673.0387464798,750.4755321,626.8093572718
MKR,2021-01-05,780.0359181505,689.0502444983,780.3828186867,653.6714753995
MKR,2021-01-06,1041.2739544324,766.7671092725,1251.1406435594,745.2008779104
