Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XEM,2018-05-31,0.2424876495,0.2457407323,0.2471448379,0.2417917822
XEM,2018-06-01,0.2520481469,0.2451236397,0.2612572163,0.2448505222
XEM,2018-06-02,0.2643163332,0.2542105726,0.2643733417,0.2527067221
XEM,2018-06-03,0.2631513073,0.2644480778,0.2753138882,0.2617368847
XEM,2018-06-04,0.2499250308,0.2636229856,0.2667232984,0.2434149217
XEM,2018-06-05,0.2519422351,0.2499256274,0.2560183236,0.2387428628
XEM,2018-06-06,0.25070125,0.2518522644,0.2529538872,0.2445504
XEM,2018-06-07,0.2551507625,0.25070125,0.277398941,0.2505478227
XEM,2018-06-08,0.2520832599,0.2551507625,0.2553576459,0.248407971
XEM,2018-06-09,0.2443757254,0.2520832599,0.2608524132,0.24325266
XEM,2018-06-10,0.2164400004,0.2443757254,0.2443757254,0.209251455
XEM,2018-06-11,0.2190142581,0.2101922059,0.2193269156,0.2100963294
XEM,2018-06-12,0.2039647502,0.2224306697,0.2224762402,0.2037356876
XEM,2018-06-13,0.1881575959,0.2039627505,0.2090771989,0.1833116222
XEM,2018-06-14,0.2018328902,0.1887497487,0.2048678364,0.1882488273
XEM,2018-06-15,0.1946066539,0.202251606,0.2032622021,0.1935580303
XEM,2018-06-16,0.1953332225,0.1946068335,0.1968833741,0.1899214693
XEM,2018-06-17,0.1950315344,0.1945228892,0.1978490922,0.1935967107
XEM,2018-06-18,0.1971627355,0.1939332571,0.2014269197,0.1890295753
XEM,2018-06-19,0.1971959755,0.1969472462,0.2026351936,0.1951615116
XEM,2018-06-20,0.1932307658,0.1976207442,0.1980525524,0.1896752721
XEM,2018-06-21,0.1892303838,0.1942257898,0.1944954014,0.1887064544
XEM,2018-06-22,0.1640558282,0.1893924424,0.189452412,0.1573366409
XEM,2018-06-23,0.1661333999,0.164124474,0.168921347,0.1609257686
