Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
OMG,2020-10-16,3.2459351045,3.3849990609,3.3877582285,3.225408971
OMG,2020-10-17,3.2509115049,3.2258885633,3.2985309262,3.1362882747
OMG,2020-10-18,3.3807309385,3.2566468211,3.4493456974,3.2500586331
OMG,2020-10-19,3.3418905316,3.406443602,3.5052199357,3.254670402
OMG,2020-10-20,3.1659332692,3.3672165471,3.3880921205,3.0760883751
OMG,2020-10-21,3.3614184777,3.1330446448,3.4288489937,3.1129591302
OMG,2020-10-22,3.5165849608,3.2679566945,3.5879918292,3.26551432
OMG,2020-10-23,3.4769911683,3.4970770191,3.6508894922,3.3942604974
OMG,2020-10-24,3.5025368962,3.5282536632,3.5679434714,3.4275552816
OMG,2020-10-25,3.3184543755,3.486600151,3.4871570098,3.2881715225
OMG,2020-10-26,3.2699012948,3.3543470468,3.4140673858,3.0935651813
OMG,2020-10-27,3.1988138013,3.2393877736,3.3091926351,3.154004437
OMG,2020-10-28,3.0498473158,3.2139630083,3.2550284431,3.0058144912
OMG,2020-10-29,2.8862586745,3.0674460887,3.138718109,2.8846384595
OMG,2020-10-30,2.8906013237,2.8906991902,2.9221253679,2.7655633274
OMG,2020-10-31,2.9183995587,2.8749486088,3.007092328,2.862609971
OMG,2020-11-01,3.1518087542,2.9267897437,3.1955968292,2.8953260581
OMG,2020-11-02,3.0187197771,3.1387848092,3.1850918708,2.965534391
OMG,2020-11-03,2.8834018426,3.001501891,3.0018872656,2.810844053
OMG,2020-11-04,2.776100561,2.8995124534,2.9986592638,2.6323439631
OMG,2020-11-05,2.9042780894,2.7702888553,2.97740793,2.6867396322
OMG,2020-11-06,3.3037468187,2.8938606275,3.3431292779,2.8841316741
OMG,2020-11-07,3.0537232267,3.3281429811,3.4935080007,2.9244785337
OMG,2020-11-08,3.1625705912,3.0595849532,3.321999302,3.0081283237
OMG,2020-11-09,3.1227897727,3.189183583,3.2371644828,3.0308629141
OMG,2020-11-10,3.2578295536,3.179479666,3.2595138877,3.0916908312
OMG,2020-11-11,3.6006845869,3.2384100261,3.8028392994,3.2382340346
OMG,2020-11-12,3.5505284007,3.5134205109,3.7899757587,3.4017421778
OMG,2020-11-13,3.5887749967,3.4934113073,3.6298730322,3.4383939352
OMG,2020-11-14,3.3962540595,3.6254585449,3.6384154614,3.3352108055
OMG,2020-11-15,3.2957634585,3.427377313,3.4953233153,3.244092671
OMG,2020-11-16,3.4396545918,3.3232883539,3.4846693386,3.2780887067
OMG,2020-11-17,3.4682124969,3.4391330243,3.5748263085,3.4171506121
OMG,2020-11-18,3.3138788983,3.4628940158,3.4991721213,3.1921262227
OMG,2020-11-19,3.2776851275,3.3317768691,3.3566659318,3.2114387227
OMG,2020-11-20,3.5474678872,3.2763523284,3.6518275106,3.2569790328
OMG,2020-11-21,4.0210581332,3.5303510867,4.2583929438,3.5303032
OMG,2020-11-22,4.0359963224,4.2497409098,4.2708591187,3.6780208008
OMG,2020-11-23,4.1019594548,3.8977289412,4.1570034342,3.7994725506
OMG,2020-11-24,4.2051154514,4.2319976268,4.6629715223,4.0290120503
OMG,2020-11-25,4.4742792666,4.3574131217,5.0903293929,4.1602565593
OMG,2020-11-26,3.7287659117,4.4278723289,4.6831948879,3.2418588226
OMG,2020-11-27,3.5400150167,3.7095126826,3.8484169664,3.3398514864
OMG,2020-11-28,3.7829316085,3.613772612,3.9362336068,3.4901800609
OMG,2020-11-29,3.7348694746,3.7837005279,3.8695296864,3.617191414
OMG,2020-11-30,3.9101349109,3.7828290296,4.01686631,3.7123043707
OMG,2020-12-01,3.7290736047,3.9489546314,4.0929612157,3.5562560015
OMG,2020-12-02,3.8155234785,3.6664274422,3.8775373673,3.5968314703
OMG,2020-12-03,3.7748426617,3.7935992485,3.8538703016,3.7094704841
OMG,2020-12-04,3.5618972023,3.7934548113,4.4131266641,3.5385994532
OMG,2020-12-05,3.6840769395,3.5297962249,3.7355565862,3.4761783714
OMG,2020-12-06,3.6672270034,3.7855859669,3.7941228485,3.6021121211
OMG,2020-12-07,3.5700113454,3.7032351623,3.7406331805,3.546235782
OMG,2020-12-08,3.2635885771,3.58476114,3.5999022892,3.245212203
OMG,2020-12-09,3.2863984028,3.2381868451,3.3240887129,3.0085539292
OMG,2020-12-10,3.136652307,3.2858481992,3.3097929957,3.0636448247
OMG,2020-12-11,3.0438535193,3.148424333,3.2882265393,2.9626734386
OMG,2020-12-12,3.2192646899,2.9934116802,3.2338936157,2.986973109
