Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
PAXG,2020-11-11,1878.5908786311,1891.6746746362,1894.7579472745,1865.3112473995
PAXG,2020-11-12,1891.7272122257,1878.4822624059,1896.5141662505,1872.9698750819
PAXG,2020-11-13,1897.145717165,1896.1329374701,1907.0521218637,1885.8667732512
PAXG,2020-11-14,1902.1141388197,1905.8871868623,1941.6955260518,1895.1257596697
PAXG,2020-11-15,1897.7065321877,1898.4240220205,1928.0990214867,1891.9797943632
PAXG,2020-11-16,1905.4328932418,1894.5379862231,1910.8204816281,1883.777451282
PAXG,2020-11-17,1896.0336584178,1904.3348525702,1910.0744235451,1890.4914729228
PAXG,2020-11-18,1886.804521794,1885.3130493398,1891.6971846121,1871.0565728434
PAXG,2020-11-19,1878.3634139469,1888.0315381823,1893.721820865,1861.3568941993
PAXG,2020-11-20,1885.2291846407,1874.5984599517,1896.2567141127,1861.6994648772
PAXG,2020-11-21,1883.7057512009,1884.2558846477,1895.0341638879,1870.9332844923
PAXG,2020-11-22,1881.4743163955,1882.5578876239,1890.9889995885,1870.7293485281
PAXG,2020-11-23,1851.5032217226,1880.7472743093,1887.4483270466,1843.660806766
PAXG,2020-11-24,1821.0587421227,1854.1397215717,1855.586153457,1813.3398992796
PAXG,2020-11-25,1822.5779396515,1822.4719963941,1835.1176309765,1813.6126492778
PAXG,2020-11-26,1828.1238756938,1820.4533877777,1863.9635538732,1812.3386255035
PAXG,2020-11-27,1802.0493756687,1826.38559221,1832.9767126387,1785.6042054424
PAXG,2020-11-28,1798.6697396899,1805.3893194372,1810.1230725751,1793.6009734413
PAXG,2020-11-29,1803.0180349923,1797.3832879733,1808.2269012539,1793.1739301376
PAXG,2020-11-30,1791.4108652927,1800.7719900587,1817.4859488821,1772.8224072606
PAXG,2020-12-01,1836.9815549171,1793.7353867075,1878.7590320011,1787.1633080372
PAXG,2020-12-02,1844.9947138879,1832.5092436129,1852.1635168099,1821.4890585305
PAXG,2020-12-03,1849.4938578419,1838.650891879,1857.4422826387,1834.7034797424
PAXG,2020-12-04,1839.4119286014,1856.3337200598,1862.4139039494,1837.3133527674
PAXG,2020-12-05,1850.9138391636,1834.3243873418,1864.7296361232,1833.0590881333
PAXG,2020-12-06,1846.3812537381,1849.4868905269,1853.5554571433,1842.3789678818
PAXG,2020-12-07,1879.1270914213,1844.2673437423,1881.8796771163,1837.6526376552
PAXG,2020-12-08,1878.5912643296,1878.3611610998,1886.7524770434,1864.2443422114
PAXG,2020-12-09,1849.4447511058,1875.440051536,1883.20949158,1845.2198219055
PAXG,2020-12-10,1854.010804683,1850.0877669438,1864.9292186658,1845.1907112994
PAXG,2020-12-11,1848.156568748,1846.6719330273,1856.9799425083,1837.2680095605
PAXG,2020-12-12,1849.6803463743,1845.4864542983,1853.545176835,1842.2065407779
PAXG,2020-12-13,1849.8096195939,1848.7583006857,1854.1247576943,1842.2794038034
PAXG,2020-12-14,1842.6018400824,1848.7848292754,1849.0314765292,1832.1686449335
PAXG,2020-12-15,1864.2614042088,1840.3765723293,1866.0351178036,1837.1653042254
PAXG,2020-12-16,1867.428061243,1858.68227727,1880.360357437,1855.7452829574
PAXG,2020-12-17,1912.2776178024,1870.0890624537,1913.9114955274,1866.6084615597
PAXG,2020-12-18,1893.2797858606,1905.5790514245,1911.2189352166,1887.5140332864
PAXG,2020-12-19,1886.4575775783,1896.7876328483,1901.6045916467,1882.6321038603
PAXG,2020-12-20,1893.9855932899,1888.5891556997,1901.9594106171,1883.2956661817
PAXG,2020-12-21,1894.1680943576,1899.6315234959,1924.1858123804,1880.1285914912
PAXG,2020-12-22,1873.9164311618,1895.7965679732,1907.6091145031,1868.1412707757
PAXG,2020-12-23,1890.95271015,1878.7082437503,1899.2673075245,1871.0814072614
PAXG,2020-12-24,1895.6093008142,1882.729838493,1905.5619397976,1881.3752626434
PAXG,2020-12-25,1898.616356246,1893.0553257272,1906.5507902987,1877.187703589
PAXG,2020-12-26,1912.2253759854,1904.442575079,1915.0209867496,1894.7382380052
PAXG,2020-12-27,1929.0419182851,1910.6326116618,1942.2416486524,1898.2512390882
PAXG,2020-12-28,1911.1062741325,1928.1566143726,1940.0696614905,1895.4874253464
PAXG,2020-12-29,1898.2357945658,1911.7380827616,1925.8464424786,1898.1813736184
PAXG,2020-12-30,1925.9455259925,1910.0493764489,1932.7846501657,1899.2448401183
PAXG,2020-12-31,1935.8840202163,1921.5699009121,1941.04949867,1911.3132527951
PAXG,2021-01-01,1940.6604269206,1933.1851309033,1953.4770435889,1919.2455119072
PAXG,2021-01-02,1962.7642555182,1940.713321713,1995.961508445,1929.1879374533
PAXG,2021-01-03,1939.3493030686,1958.2189292074,1972.6519120656,1932.0658929112
PAXG,2021-01-04,1994.2850987431,1947.7084130517,2032.4622286638,1944.7958373964
PAXG,2021-01-05,2022.273043929,2005.5492876494,2091.4868672732,2001.5803532106
PAXG,2021-01-06,1960.5810047118,2027.1840955249,2033.2505195841,1935.0193737951
PAXG,2021-01-07,1948.7858799626,1969.6243216131,1983.3747312973,1922.0665721216
PAXG,2021-01-08,1875.5642576386,1952.9581111079,1962.0397053092,1847.0766716363
PAXG,2021-01-09,1872.9523052575,1874.7044752579,1901.4015654005,1861.5570176956
PAXG,2021-01-10,1891.7870337479,1885.1559575947,1914.4619979727,1867.959307464
PAXG,2021-01-11,1859.2498961436,1874.1179080458,1891.6156723105,1826.1717980023
PAXG,2021-01-12,1862.863522113,1856.8911046768,1887.9375344242,1843.1946693211
PAXG,2021-01-13,1865.0547953194,1869.3859112215,2030.0576421576,1863.1171573654
PAXG,2021-01-14,1862.7587299103,1858.3924512778,1878.2739333473,1851.9707641347
PAXG,2021-01-15,1838.8978445924,1869.5794903201,1881.5704288336,1836.1549837345
PAXG,2021-01-16,1849.1079141006,1839.4820286981,1868.3492324153,1838.8849100006
PAXG,2021-01-17,1850.537801354,1850.7736812629,1854.6646285615,1836.0222559941
PAXG,2021-01-18,1849.5561928191,1839.2153298498,1861.2452714793,1834.687307162
PAXG,2021-01-19,1856.3831525223,1857.9309837667,1881.3189036632,1843.9453927254
PAXG,2021-01-20,1880.0873496117,1844.2113938872,1905.1621630484,1840.8768783503
PAXG,2021-01-21,1884.2047342372,1884.9668193321,1901.384084948,1869.796098549
PAXG,2021-01-22,1863.2008717304,1882.2711244395,1897.7977038932,1850.3684256741
PAXG,2021-01-23,1867.1702382768,1865.8674682423,1874.6288761967,1859.8920647271
PAXG,2021-01-24,1868.6403068498,1868.9442702376,1876.3098610749,1859.8493769627
PAXG,2021-01-25,1863.4967418547,1863.9986788888,1874.9286860448,1853.3897045092
PAXG,2021-01-26,1872.6956928159,1861.580094643,1874.1398546028,1853.2020140949
PAXG,2021-01-27,1853.6856232257,1866.311122546,1867.6963295344,1844.2368799582
PAXG,2021-01-28,1858.7034395682,1851.5873993553,1871.1738464878,1846.5770034788
PAXG,2021-01-29,1870.5303011899,1856.1414218731,1882.3823439725,1848.4614416224
PAXG,2021-01-30,1870.4724115965,1869.6557980078,1884.5995061996,1863.7979245754
PAXG,2021-01-31,1875.4562070643,1868.6183026869,1876.9286484032,1862.2498738501
PAXG,2021-02-01,1864.9101570562,1880.2226670584,1888.6040886131,1861.0446390579
PAXG,2021-02-02,1853.5508778565,1867.7897227269,1871.4511654678,1844.709329061
PAXG,2021-02-03,1848.9146427981,1851.773413576,1860.9004862804,1845.9510008567
PAXG,2021-02-04,1812.806639981,1847.1957712258,1850.2523812931,1802.9799853029
