Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
PAX,2020-11-11,1.0001374998,1.0066148811,1.0066148811,0.9953202577
PAX,2020-11-12,0.9995373521,0.9999246677,1.0011623537,0.9991031243
PAX,2020-11-13,0.9990554143,0.999567757,1.0006832787,0.9988726644
PAX,2020-11-14,0.9992506661,0.9991824718,1.000755446,0.9985411189
PAX,2020-11-15,0.999987687,0.9996244451,1.001029068,0.9991452818
PAX,2020-11-16,0.9999160264,1.0001141464,1.000834322,0.999497317
PAX,2020-11-17,0.9996042881,0.9998733712,1.0004300557,0.9984730817
PAX,2020-11-18,0.9995009333,1.0000983779,1.0006755496,0.9990329932
PAX,2020-11-19,0.9998033114,0.9994690141,1.001486008,0.9992432442
PAX,2020-11-20,0.9993566635,0.9999470716,1.0006784907,0.9990931264
PAX,2020-11-21,0.9976202298,0.9994781097,0.999656775,0.9929621162
PAX,2020-11-22,0.9991403311,0.9974115596,1.0004218112,0.996977842
PAX,2020-11-23,0.9993827028,0.9976226745,0.9998751633,0.9975500102
PAX,2020-11-24,0.9988108752,0.9992024726,1.0014794884,0.9964675014
PAX,2020-11-25,0.9995931869,0.998239952,1.0018337736,0.9981560629
PAX,2020-11-26,1.0014108883,1.0001216894,1.0046021625,0.9994721544
PAX,2020-11-27,1.0012309622,1.001287703,1.0034268781,1.0000401103
PAX,2020-11-28,1.0005946901,1.0008341538,1.0017528094,1.0000886402
PAX,2020-11-29,1.0000066468,1.0002457261,1.0011869871,0.9997430468
PAX,2020-11-30,0.9993305632,1.0002541338,1.0023475801,0.9943817096
PAX,2020-12-01,1.0011125281,0.9990849608,1.0033825954,0.9982775052
PAX,2020-12-02,1.0000936759,1.0009303863,1.0027168521,0.9998600554
PAX,2020-12-03,1.0001044842,0.9999721067,1.0020901237,0.9995542293
PAX,2020-12-04,1.0004515476,1.0000147077,1.0076875261,0.9983151875
PAX,2020-12-05,1.0003872058,1.0003430174,1.001277133,0.9991041496
