Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
QTUM,2018-05-31,13.2259627991,13.4063800001,13.4754683646,13.1479375124
QTUM,2018-06-01,14.2689778048,13.3560666977,14.4796202447,13.2123979247
QTUM,2018-06-02,14.6135304191,14.458209777,14.8059644231,14.3376968221
QTUM,2018-06-03,14.5679307327,14.5924583885,14.8818455119,14.4458340165
QTUM,2018-06-04,13.704057857,14.6268517165,14.8140704174,13.4403458708
QTUM,2018-06-05,13.9161325343,13.7040592042,13.981603382,13.1279892727
QTUM,2018-06-06,13.64703592,13.894528,13.9771528867,13.39633968
QTUM,2018-06-07,13.546892,13.64703592,13.88656984,13.47686256
QTUM,2018-06-08,13.3780568624,13.546892,13.65032684,13.11370928
QTUM,2018-06-09,13.06899657,13.3780568624,13.4829904,13.028601066
QTUM,2018-06-10,11.34790317,13.06899657,13.08034876,11.11847
QTUM,2018-06-11,11.6531289033,11.1951716183,11.6633134347,11.1861177021
QTUM,2018-06-12,11.0694724451,11.9264036144,12.74288217,11.0196174797
QTUM,2018-06-13,10.6249297853,11.069426553,11.351377318,10.083813738
QTUM,2018-06-14,11.0118115844,10.5301279458,11.2538632004,10.3509756019
QTUM,2018-06-15,10.605315096,11.0800221527,11.1138889032,10.5746192908
QTUM,2018-06-16,10.6606241552,10.60531536,10.7061593045,10.2924292891
QTUM,2018-06-17,10.4884284684,10.5950420391,10.6874067447,10.4108952354
QTUM,2018-06-18,10.6151489127,10.4198755281,10.7231898859,10.06776544
QTUM,2018-06-19,10.6931789113,10.6018607971,10.8372963727,10.3342903402
QTUM,2018-06-20,10.6421637493,10.7171448644,10.7629910892,10.0729405232
QTUM,2018-06-21,10.0172347871,10.7243232649,10.734049665,9.9046232714
QTUM,2018-06-22,10.2397963704,10.0172223442,10.6124406315,9.9866659157
QTUM,2018-06-23,9.3200478523,10.2715520946,10.2998876009,8.6027648351
QTUM,2018-06-24,9.0884336524,9.3734106953,9.3734525439,7.6834344329
QTUM,2018-06-25,8.321665106,9.0438670758,9.0705728095,7.6562972956
QTUM,2018-06-26,8.5502900198,8.3250377226,9.5156430559,7.9511177854
QTUM,2018-06-27,8.8142658945,8.5518141957,9.3748036461,8.136863303
QTUM,2018-06-28,8.0193590348,8.8084418298,8.8877468801,7.9494555624
QTUM,2018-06-29,8.2566354398,8.0093806871,8.2646032636,7.597946927
QTUM,2018-06-30,8.376649645,8.2599205502,8.7537039424,8.1246162436
QTUM,2018-07-01,8.6184555165,8.5074243297,8.9485804371,8.3161703062
QTUM,2018-07-02,9.1647476145,8.6170431356,9.2972565586,8.3459230904
QTUM,2018-07-03,8.7838686403,9.1623614502,9.4255376479,8.7781978483
QTUM,2018-07-04,8.9414540842,8.7899899412,9.2715478528,8.5320671538
QTUM,2018-07-05,8.6748814316,8.9414816556,9.1958435163,8.5306799343
QTUM,2018-07-06,8.95149121,8.71755,9.238944972,8.41623768
