Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
SC,2020-11-11,0.0027181495,0.0027125079,0.0027884672,0.002656021
SC,2020-11-12,0.002621388,0.0027493251,0.0027649531,0.0025803912
SC,2020-11-13,0.0026819096,0.0026234645,0.0027684778,0.0026152847
SC,2020-11-14,0.0026799191,0.00268789,0.0027252905,0.0025860701
SC,2020-11-15,0.0026721229,0.0026152844,0.0028535939,0.0025651589
SC,2020-11-16,0.0027409829,0.0025870679,0.0027543543,0.0025817937
SC,2020-11-17,0.002771565,0.002703283,0.0028262204,0.0026742556
SC,2020-11-18,0.0026944857,0.0027435117,0.0027747756,0.0026587212
SC,2020-11-19,0.0026788568,0.0027606584,0.0027920523,0.0025991087
SC,2020-11-20,0.0026570085,0.0027607949,0.0028362632,0.0025928305
SC,2020-11-21,0.0030874218,0.0026678031,0.003143638,0.0026594629
SC,2020-11-22,0.0030057704,0.0031157619,0.0031315455,0.0027585631
SC,2020-11-23,0.0030972512,0.00304883,0.0031135059,0.0029102461
SC,2020-11-24,0.0037849265,0.0030954254,0.0041198623,0.0030641917
SC,2020-11-25,0.0036652816,0.0039353563,0.0041372576,0.0035778821
SC,2020-11-26,0.0030592384,0.0036017588,0.0037690832,0.0027989117
SC,2020-11-27,0.0029885169,0.0030582167,0.0031141527,0.0027407931
SC,2020-11-28,0.0032181917,0.0030313033,0.0033050997,0.0029257504
SC,2020-11-29,0.0031402897,0.0032220052,0.0033654209,0.0031042842
SC,2020-11-30,0.003325755,0.0031759357,0.0034214046,0.0031746085
SC,2020-12-01,0.0033227253,0.0034238249,0.0035335727,0.0031728985
SC,2020-12-02,0.0034508466,0.0033356274,0.003530115,0.0032571611
SC,2020-12-03,0.0033716863,0.0034523926,0.0035741216,0.0033060368
SC,2020-12-04,0.0034882371,0.0034664855,0.0040090606,0.0034347688
SC,2020-12-05,0.0036382939,0.0035531578,0.0037235793,0.0033835156
SC,2020-12-06,0.0035351799,0.0037638297,0.0037652549,0.0034766717
SC,2020-12-07,0.0034889287,0.0035674283,0.0036513606,0.0034555938
SC,2020-12-08,0.0033479379,0.0035301929,0.0035487327,0.0032620727
SC,2020-12-09,0.0032734475,0.0032958243,0.0033028311,0.0030711614
SC,2020-12-10,0.0031797256,0.0032859832,0.0033265968,0.0030873787
SC,2020-12-11,0.0030954255,0.0032098467,0.0032102254,0.0030047185
SC,2020-12-12,0.0032628103,0.0030697769,0.0032646894,0.0030688237
SC,2020-12-13,0.0032487442,0.0032309836,0.0033814046,0.0031618501
SC,2020-12-14,0.0031573127,0.0032667501,0.0033981604,0.0031385601
SC,2020-12-15,0.0032677855,0.0031611588,0.0032993422,0.0031164193
SC,2020-12-16,0.0034149177,0.0032589636,0.0034984346,0.0031664311
SC,2020-12-17,0.0034783156,0.0034852961,0.003683549,0.0033203155
SC,2020-12-18,0.0036198297,0.0035796185,0.0036214357,0.0034086647
SC,2020-12-19,0.0036104006,0.0036169689,0.0037961653,0.0035342781
SC,2020-12-20,0.003603231,0.0037099951,0.0037476572,0.003494717
SC,2020-12-21,0.0034792135,0.003614975,0.0039670766,0.0033353404
SC,2020-12-22,0.0033269777,0.0034705814,0.0035653237,0.0032673267
SC,2020-12-23,0.0028591996,0.0033599053,0.0034678732,0.0028024959
SC,2020-12-24,0.0031501965,0.0028349688,0.0032093028,0.0027756697
SC,2020-12-25,0.0031508587,0.0032400258,0.0033259186,0.0030113906
SC,2020-12-26,0.0032310021,0.0030493157,0.0034370728,0.0030408022
SC,2020-12-27,0.0032640858,0.0032243171,0.0035373434,0.0032042802
SC,2020-12-28,0.0033068926,0.0033352555,0.0036135087,0.0032775455
SC,2020-12-29,0.0031964881,0.0034635482,0.0034674116,0.0030025784
SC,2020-12-30,0.0033828451,0.0032280633,0.0034997289,0.003224402
SC,2020-12-31,0.0031155013,0.0033840059,0.003386789,0.0029563414
SC,2021-01-01,0.0033223265,0.0030803187,0.0034906277,0.0030792087
SC,2021-01-02,0.0046678617,0.0034153693,0.0051957913,0.0032549116
SC,2021-01-03,0.0045307118,0.0045998792,0.0057076064,0.0044064222
SC,2021-01-04,0.0041667222,0.0046101818,0.0047896012,0.0038728145
SC,2021-01-05,0.0042412028,0.0043504304,0.0044226662,0.0038407182
SC,2021-01-06,0.0045039228,0.004169142,0.0049151235,0.0039113357
SC,2021-01-07,0.0048313396,0.004612672,0.0051827636,0.0044191181
SC,2021-01-08,0.0046472462,0.0049538702,0.0051153665,0.0044198911
SC,2021-01-09,0.0050794211,0.0048002319,0.0052548648,0.0045942699
SC,2021-01-10,0.0049372082,0.0051313936,0.0054708127,0.0044353721
SC,2021-01-11,0.0042520311,0.0048836499,0.0054114242,0.0037635461
SC,2021-01-12,0.0042724048,0.0044165319,0.0045779121,0.0039834251
SC,2021-01-13,0.0044482869,0.0042170518,0.0045788361,0.0039974706
SC,2021-01-14,0.0044803017,0.0044515822,0.0048006856,0.0042872666
SC,2021-01-15,0.0045398463,0.0045254913,0.0048250777,0.0042266874
SC,2021-01-16,0.0046647205,0.0046135966,0.0048029295,0.0044915461
SC,2021-01-17,0.0047145458,0.0047405417,0.0049849836,0.0042968248
SC,2021-01-18,0.0049040016,0.004651324,0.004981946,0.0044446969
SC,2021-01-19,0.005107717,0.0048445218,0.0054383518,0.0048363804
SC,2021-01-20,0.0052257996,0.0050248058,0.0052987189,0.004600878
SC,2021-01-21,0.0044041344,0.0052767955,0.0052974743,0.0043341
SC,2021-01-22,0.0046327552,0.0044263677,0.0047239618,0.0041056827
SC,2021-01-23,0.0045832063,0.0046052228,0.0048317422,0.0044143847
SC,2021-01-24,0.0046058561,0.0047317356,0.0048252828,0.0044921879
SC,2021-01-25,0.0044170387,0.0046861556,0.0047907728,0.004374089
SC,2021-01-26,0.0044138768,0.0045146979,0.0045386319,0.0042156884
SC,2021-01-27,0.0042369724,0.0044042186,0.0044516075,0.0039296461
SC,2021-01-28,0.0054679462,0.0041046621,0.0062786876,0.0040813372
SC,2021-01-29,0.007664118,0.0058000323,0.0101067141,0.0056683366
SC,2021-01-30,0.0065179292,0.0074350694,0.0079303349,0.0061651212
SC,2021-01-31,0.0071031295,0.0066915895,0.0083014757,0.0060740487
SC,2021-02-01,0.0070574336,0.0074909117,0.0080205967,0.0065807231
SC,2021-02-02,0.0085363045,0.007325544,0.0087085135,0.0071033454
SC,2021-02-03,0.0088052284,0.0088452922,0.0097197349,0.0082804151
SC,2021-02-04,0.0085507819,0.0088869659,0.0094395353,0.0082389932
SC,2021-02-05,0.0089651995,0.0085007573,0.0092392025,0.0083545658
SC,2021-02-06,0.0087099786,0.0094323043,0.0094489394,0.0082649716
SC,2021-02-07,0.0081261172,0.0085735647,0.0086135811,0.0076375737
SC,2021-02-08,0.0087914169,0.0082576773,0.0091683234,0.0079762658
SC,2021-02-09,0.0103359908,0.0089896989,0.0108007733,0.0087934882
SC,2021-02-10,0.0103121028,0.0101522491,0.0116265359,0.0097345983
SC,2021-02-11,0.0112606573,0.0104778974,0.0117275305,0.0103761329
SC,2021-02-12,0.012777632,0.0114054034,0.013063411,0.0109112196
SC,2021-02-13,0.0133980573,0.0130859282,0.013943306,0.0123592634
SC,2021-02-14,0.0128758466,0.0136850682,0.0137645483,0.0120598104
SC,2021-02-15,0.0117799515,0.0127174189,0.013050609,0.0109474575
SC,2021-02-16,0.0111741624,0.0118776072,0.012566469,0.0107804887
SC,2021-02-17,0.0123462532,0.0114299057,0.0127129248,0.0107801169
SC,2021-02-18,0.0131676617,0.0123446891,0.0134357945,0.0122130401
SC,2021-02-19,0.0130680149,0.0134166063,0.0134204196,0.0124804478
SC,2021-02-20,0.0126849841,0.0135982709,0.0142973296,0.0125668674
SC,2021-02-21,0.013354411,0.0130964596,0.0139526511,0.0126157328
SC,2021-02-22,0.0123638204,0.0137039791,0.0137396442,0.0099642685
SC,2021-02-23,0.0099111837,0.0126001297,0.0126028249,0.0087185453
SC,2021-02-24,0.0106141332,0.0106069763,0.0119435152,0.0100777908
SC,2021-02-25,0.0105787555,0.0108719227,0.0112112474,0.0102574342
SC,2021-02-26,0.0095815843,0.0101453139,0.0103514519,0.0092197773
SC,2021-02-27,0.0101652791,0.009820866,0.0103988887,0.0096362355
SC,2021-02-28,0.0094876683,0.0100963539,0.0103904657,0.0087118881
SC,2021-03-01,0.0101439355,0.0095999055,0.010332727,0.0094346032
SC,2021-03-02,0.0099791308,0.010273778,0.0103674612,0.0096839758
SC,2021-03-03,0.0105039304,0.0101132274,0.0111046234,0.0100056229
SC,2021-03-04,0.0103816001,0.0106525045,0.011099738,0.0100946864
SC,2021-03-05,0.0106569552,0.0103900432,0.0107285236,0.0098757007
SC,2021-03-06,0.010673678,0.0105872091,0.0109812041,0.0101026408
SC,2021-03-07,0.0107280511,0.0107046522,0.0109676673,0.0104916766
SC,2021-03-08,0.0111190705,0.0109120009,0.0114966051,0.0108006049
SC,2021-03-09,0.0118688595,0.0114184263,0.0119589804,0.0110728954
SC,2021-03-10,0.0122955641,0.0120555629,0.0124535779,0.0112877097
SC,2021-03-11,0.0119284914,0.0119257266,0.0121468561,0.0111984859
SC,2021-03-12,0.0117943879,0.0117335295,0.0122449166,0.0112343039
SC,2021-03-13,0.0132721947,0.0117634377,0.0136358322,0.0112968281
SC,2021-03-14,0.0147654642,0.013592198,0.0149339184,0.0132168128
SC,2021-03-15,0.0178419676,0.0138642449,0.0196241876,0.0127937516
SC,2021-03-16,0.0179870302,0.0187595861,0.0212045913,0.0170211352
SC,2021-03-17,0.0195363467,0.018205481,0.0201661841,0.0172804304
SC,2021-03-18,0.0218458829,0.0200822859,0.0219773424,0.0190204589
SC,2021-03-19,0.0238339558,0.022739205,0.0245126635,0.0210317203
