Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
SNGLS,2020-11-11,0.0064842405,0.0065837961,0.0067380694,0.0063019148
SNGLS,2020-11-12,0.006013073,0.0064338163,0.0066603978,0.0058150345
SNGLS,2020-11-13,0.0066987159,0.0060298648,0.0071280516,0.0058454016
SNGLS,2020-11-14,0.0060734825,0.0065306085,0.0066962744,0.0058543861
SNGLS,2020-11-15,0.0060412444,0.006108084,0.006285435,0.0058413034
SNGLS,2020-11-16,0.006027045,0.005907015,0.0064464469,0.0058324062
SNGLS,2020-11-17,0.0072121232,0.0060116771,0.0079168915,0.0056560337
SNGLS,2020-11-18,0.00623931,0.0056992147,0.0062422221,0.0056814751
SNGLS,2020-11-19,0.0062771687,0.0060427946,0.0063164834,0.0057800883
SNGLS,2020-11-20,0.0061339261,0.0060516612,0.0066482061,0.0059257785
SNGLS,2020-11-21,0.0066821553,0.0059672347,0.0066875316,0.0057423815
SNGLS,2020-11-22,0.006512459,0.0065307867,0.0067334264,0.0060612743
SNGLS,2020-11-23,0.0068322699,0.0064309326,0.0070200094,0.0061431291
SNGLS,2020-11-24,0.0072385252,0.0067920697,0.0078930507,0.0065206499
SNGLS,2020-11-25,0.0069358139,0.0074677222,0.0078742383,0.0067645879
SNGLS,2020-11-26,0.0060168809,0.007111472,0.0075326724,0.005352806
SNGLS,2020-11-27,0.005787789,0.0058437454,0.0062298627,0.0056090649
SNGLS,2020-11-28,0.0064062459,0.0060039464,0.0065014678,0.0056570561
SNGLS,2020-11-29,0.0061553495,0.0062040683,0.0067358842,0.0059963995
SNGLS,2020-11-30,0.0062002128,0.0061852663,0.0066900201,0.0060143
SNGLS,2020-12-01,0.0064489236,0.0062988979,0.0067723059,0.0058247105
SNGLS,2020-12-02,0.0063096109,0.006387779,0.0065773716,0.0060558537
SNGLS,2020-12-03,0.0062252337,0.0064935029,0.006610029,0.0059888382
SNGLS,2020-12-04,0.006014502,0.0062168638,0.006410547,0.0058712095
SNGLS,2020-12-05,0.0058831778,0.0059661591,0.0062762466,0.0056
SNGLS,2020-12-06,0.0059233281,0.0059224826,0.0059681278,0.005536351
SNGLS,2020-12-07,0.0059078349,0.0058088937,0.0060074897,0.0055781321
SNGLS,2020-12-08,0.0055961029,0.0059285076,0.0059643141,0.0054009589
SNGLS,2020-12-09,0.0055504603,0.0054891605,0.0055741259,0.0051306773
SNGLS,2020-12-10,0.0053190202,0.0053740503,0.0053768125,0.0048948313
SNGLS,2020-12-11,0.005255732,0.0051119617,0.0054025298,0.0047524773
SNGLS,2020-12-12,0.0054674077,0.0052290512,0.0055008082,0.0049578447
SNGLS,2020-12-13,0.0053300771,0.0054496638,0.0054672868,0.0051592094
SNGLS,2020-12-14,0.005004968,0.0053595681,0.0055577097,0.0044157739
SNGLS,2020-12-15,0.0048593587,0.0048163528,0.0052415398,0.0045858006
SNGLS,2020-12-16,0.0044765498,0.0048577138,0.00520521,0.004368446
SNGLS,2020-12-17,0.0045787627,0.004696837,0.0050948419,0.0042727524
SNGLS,2020-12-18,0.0045988551,0.0045630603,0.0050754603,0.0043584776
SNGLS,2020-12-19,0.0050082861,0.0046252907,0.0053329738,0.0046252907
SNGLS,2020-12-20,0.0056470651,0.0047634122,0.0061850724,0.0044389849
SNGLS,2020-12-21,0.0050972393,0.0056317858,0.0061736632,0.0047533791
SNGLS,2020-12-22,0.004917977,0.0049981878,0.0056574594,0.0046807638
SNGLS,2020-12-23,0.0041794898,0.0049911668,0.0050031945,0.0041037361
SNGLS,2020-12-24,0.0040167053,0.0044117996,0.0044128965,0.0032063854
SNGLS,2020-12-25,0.0041766859,0.004034325,0.0044053581,0.00363
SNGLS,2020-12-26,0.0044824974,0.0039505204,0.0047534525,0.0032038305
SNGLS,2020-12-27,0.004220884,0.0042259659,0.0049729865,0.00405
SNGLS,2020-12-28,0.0042684098,0.004447979,0.0046441933,0.00391
SNGLS,2020-12-29,0.0040416497,0.0043189565,0.0045521663,0.0036724784
SNGLS,2020-12-30,0.004023943,0.0040973722,0.0044200978,0.0035893442
SNGLS,2020-12-31,0.0037821617,0.0040388849,0.0043779846,0.0036521823
SNGLS,2021-01-01,0.0052785578,0.0040441597,0.0104581971,0.0037505555
SNGLS,2021-01-02,0.0051412818,0.004989728,0.0070500094,0.0045080348
SNGLS,2021-01-03,0.005270967,0.0048079607,0.0061579651,0.0044968098
SNGLS,2021-01-04,0.0050267206,0.0052329376,0.0059704417,0.0045114691
SNGLS,2021-01-05,0.0055053437,0.0051144259,0.005759681,0.0048662054
SNGLS,2021-01-06,0.0054325393,0.00543361,0.0057918831,0.0048178212
SNGLS,2021-01-07,0.0055476729,0.0055102925,0.0060283663,0.0051221701
SNGLS,2021-01-08,0.0052574887,0.0055062784,0.0062078526,0.0048
SNGLS,2021-01-09,0.006012765,0.0052629733,0.0061911279,0.0051600104
SNGLS,2021-01-10,0.0054098831,0.0059823457,0.0065227762,0.0049042816
SNGLS,2021-01-11,0.0055051933,0.0057039508,0.0079407027,0.0042649586
SNGLS,2021-01-12,0.0051327937,0.0053113147,0.0063364071,0.0050740577
SNGLS,2021-01-13,0.0051832923,0.0054514132,0.0059847728,0.004854917
SNGLS,2021-01-14,0.0057603385,0.0056009107,0.0060115527,0.0051272
SNGLS,2021-01-15,0.0058586098,0.0054716129,0.0060176752,0.0048968276
SNGLS,2021-01-16,0.0061213307,0.0055016735,0.0082982683,0.0051315
SNGLS,2021-01-17,0.0061823185,0.0064803176,0.0066146487,0.0055739453
SNGLS,2021-01-18,0.0065010333,0.0060927527,0.0073243959,0.005940011
SNGLS,2021-01-19,0.0061748421,0.0068232613,0.0070999883,0.0058567655
SNGLS,2021-01-20,0.0062984493,0.0060598652,0.0064444277,0.0055555
SNGLS,2021-01-21,0.0055167694,0.0063650429,0.0063875061,0.005235
SNGLS,2021-01-22,0.0063338401,0.0055540325,0.0064161715,0.0050254
SNGLS,2021-01-23,0.0060854784,0.0062454565,0.0064790314,0.0052491
SNGLS,2021-01-24,0.0061330232,0.0060938906,0.0066159565,0.0054254
SNGLS,2021-01-25,0.0058483925,0.0061348184,0.006688932,0.00573
SNGLS,2021-01-26,0.0058180565,0.0061261568,0.0062245356,0.00561
SNGLS,2021-01-27,0.0051883843,0.0058472078,0.0061531826,0.0045681951
SNGLS,2021-01-28,0.0056777213,0.0051704522,0.006417335,0.0049857571
SNGLS,2021-01-29,0.0073204311,0.0056812228,0.0087030075,0.0056746847
SNGLS,2021-01-30,0.0086374311,0.0071990619,0.0096080583,0.0067045579
SNGLS,2021-01-31,0.0079398267,0.0088980303,0.018440776,0.0070274457
SNGLS,2021-02-01,0.007354376,0.0076234428,0.0081113885,0.0070144769
SNGLS,2021-02-02,0.0077886493,0.0075890523,0.0083948836,0.0069928993
SNGLS,2021-02-03,0.0088602653,0.0077621237,0.0099134934,0.0071598015
SNGLS,2021-02-04,0.0085700957,0.0089174224,0.0094700976,0.0080109751
SNGLS,2021-02-05,0.009459464,0.0085014221,0.0095331062,0.0084254325
SNGLS,2021-02-06,0.0084649666,0.0091921244,0.0098365227,0.0079595927
SNGLS,2021-02-07,0.0084586383,0.008632728,0.0089103581,0.0079155809
SNGLS,2021-02-08,0.0089487537,0.0085470625,0.0097147994,0.0081878398
SNGLS,2021-02-09,0.0102564738,0.0088325487,0.0104424445,0.0083352293
SNGLS,2021-02-10,0.0108538154,0.0102134448,0.0115702009,0.0096708091
SNGLS,2021-02-11,0.0142353763,0.0107633495,0.0147108326,0.0098225
SNGLS,2021-02-12,0.0153152947,0.0139115655,0.0158226133,0.012808576
SNGLS,2021-02-13,0.0150367918,0.0146871023,0.0164556661,0.0134444882
SNGLS,2021-02-14,0.0152367797,0.0151125901,0.0173633766,0.014598433
SNGLS,2021-02-15,0.0144400142,0.0150761806,0.0160972846,0.0126013175
SNGLS,2021-02-16,0.0136754745,0.0139028868,0.0155064192,0.0129135083
SNGLS,2021-02-17,0.013566285,0.013768048,0.0154912916,0.012388295
SNGLS,2021-02-18,0.015521033,0.0146019225,0.0155828157,0.0139314643
SNGLS,2021-02-19,0.0155960261,0.0154772894,0.0158226612,0.0142713966
SNGLS,2021-02-20,0.0147918623,0.0150900697,0.0167430887,0.0145675537
SNGLS,2021-02-21,0.0154158916,0.0145197749,0.0162720267,0.0138905499
SNGLS,2021-02-22,0.0130041433,0.0160765933,0.0165796471,0.0119430029
SNGLS,2021-02-23,0.0105980809,0.0135286422,0.0135502729,0.0092342511
SNGLS,2021-02-24,0.0116960802,0.0107625605,0.0128278827,0.0103377001
SNGLS,2021-02-25,0.0125509653,0.0114392823,0.0128300071,0.010907279
SNGLS,2021-02-26,0.0114406479,0.0113129761,0.0122574734,0.0102271773
SNGLS,2021-02-27,0.0116584324,0.0120391283,0.0125014306,0.0112598557
SNGLS,2021-02-28,0.0103704502,0.0110900435,0.0116716747,0.0091317369
SNGLS,2021-03-01,0.011324998,0.0104055348,0.0116435611,0.0099154984
SNGLS,2021-03-02,0.0100521813,0.0109180341,0.0115431338,0.0099046979
SNGLS,2021-03-03,0.0116859746,0.0106642503,0.0122924514,0.0101221672
SNGLS,2021-03-04,0.0115853745,0.0115966875,0.0130230344,0.0106968193
SNGLS,2021-03-05,0.0122907879,0.0121052857,0.0126783112,0.0111342054
SNGLS,2021-03-06,0.0127075464,0.0122013527,0.0129394326,0.011262
SNGLS,2021-03-07,0.0126517468,0.0122231321,0.013173652,0.0117201763
SNGLS,2021-03-08,0.0123586304,0.0122278755,0.0129808296,0.0118215454
SNGLS,2021-03-09,0.0136152879,0.0125694148,0.0137046499,0.0119543699
SNGLS,2021-03-10,0.015937292,0.0137350168,0.0170634374,0.0123049303
SNGLS,2021-03-11,0.0161043953,0.0150935523,0.01818515,0.0150004279
SNGLS,2021-03-12,0.0171938777,0.0161512385,0.0186701537,0.0158885988
SNGLS,2021-03-13,0.0212473433,0.016595416,0.0219251096,0.0162732945
SNGLS,2021-03-14,0.0252759945,0.024957644,0.0306681424,0.0236365287
SNGLS,2021-03-15,0.0236505843,0.024754531,0.0263276196,0.020566756
SNGLS,2021-03-16,0.0243557535,0.0233844964,0.0274047475,0.0208114332
SNGLS,2021-03-17,0.0263516088,0.024470289,0.027080771,0.022314352
SNGLS,2021-03-18,0.0249338072,0.0270768716,0.0289238131,0.0235260141
SNGLS,2021-03-19,0.0274766474,0.0242192986,0.0290414446,0.0231422659
