Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDT,2018-05-31,0.9994714838,0.9986278587,0.9994720441,0.998148147
USDT,2018-06-01,0.9996643249,0.9994434258,1.003,0.999100292
USDT,2018-06-02,0.9999782798,0.9994167452,1.001,0.9970000381
USDT,2018-06-03,0.9998050189,1.000205908,1.003,0.9983911429
USDT,2018-06-04,1.000882553,0.9998050189,1.0018729199,0.9955486713
USDT,2018-06-05,0.9996616647,1.000882553,1.003,0.9985685736
USDT,2018-06-06,0.9979914389,0.9993,1.0024355123,0.9951
USDT,2018-06-07,0.9987,0.9979914389,1.0014824863,0.9958417639
USDT,2018-06-08,1.000983934,0.9987,1.0026448342,0.9969740326
USDT,2018-06-09,1.0004471585,1.000983934,1.0022550739,0.9971322148
USDT,2018-06-10,1.0003690259,1.0004498293,1.0081079515,0.9975080167
USDT,2018-06-11,0.9993480365,1.0011180445,1.0011981675,0.997374055
USDT,2018-06-12,0.9999963248,1.0000930854,1.0011213337,0.9990025663
USDT,2018-06-13,0.9999618051,0.9999963248,1.0008486219,0.9980291011
USDT,2018-06-14,1.0010504791,0.9999503612,1.0046622148,0.999
USDT,2018-06-15,1.0003085627,1.0003854099,1.009469067,0.9996945854
USDT,2018-06-16,0.9999946002,1.0003085627,1.01,0.9983967751
USDT,2018-06-17,0.999993915,0.9999992579,1.0003900966,0.998599778
USDT,2018-06-18,0.9990381511,1.0002935475,1.01,0.998
USDT,2018-06-19,0.9991109022,0.9990350034,1.002,0.99840892
USDT,2018-06-20,0.998946837,0.999110892,1.0006800786,0.9987371468
USDT,2018-06-21,0.9999553124,0.9986928807,1.002054695,0.998
USDT,2018-06-22,1.000770701,0.9999553124,1.0011964466,0.9985682333
USDT,2018-06-23,1.0012883132,1.0007723051,1.0027545738,0.9995311032
USDT,2018-06-24,1.001065668,1.0012883132,1.0038427972,1.0009694859
USDT,2018-06-25,1.000269828,1.0010647444,1.0024903121,0.9997044855
USDT,2018-06-26,0.9995556287,1.000269828,1.0006959366,0.9991993198
USDT,2018-06-27,1.0000237192,0.9995551613,1.0007500727,0.9991982575
USDT,2018-06-28,0.9988270342,1.0000237192,1.0009476713,0.9984597672
USDT,2018-06-29,0.9996364835,0.9988270342,1.0001056263,0.998
USDT,2018-06-30,0.9988509127,0.9996364835,1.0005430715,0.9982129988
USDT,2018-07-01,0.9987684004,0.9986324489,0.9995581048,0.9986324489
USDT,2018-07-02,0.999076947,0.9987684004,0.9998051183,0.998693611
USDT,2018-07-03,0.9994022705,0.999076947,1,0.996
USDT,2018-07-04,0.999132653,0.9993875064,1.0001726038,0.9968132551
USDT,2018-07-05,0.9986651516,0.999132653,1.0002751042,0.9979756994
USDT,2018-07-06,0.9984,0.9986,1.0022266946,0.9967344964
USDT,2018-07-07,0.9987119765,0.9981785376,0.999,0.9969675994
USDT,2018-07-08,0.9992280752,0.9987119765,0.9997925556,0.9982694182
USDT,2018-07-09,0.9993442082,0.9992280752,0.9998325543,0.9984227366
USDT,2018-07-10,0.9985923534,0.9993442082,1,0.997
USDT,2018-07-11,1,0.9985511605,1.0002193231,0.994
USDT,2018-07-12,0.9988678548,1,1.0012291787,0.9978699349
USDT,2018-07-13,1.0007861999,0.9989,1.0025055679,0.994
USDT,2018-07-14,0.9994204321,0.9990849768,0.9999509093,0.994957865
USDT,2018-07-15,0.9974137563,0.9994204321,1.0004842348,0.996
USDT,2018-07-16,0.9988480621,0.9989763551,1,0.9902613708
USDT,2018-07-17,0.99962823,0.9988480621,1.003,0.9949396197
USDT,2018-07-18,0.9985484518,0.99962823,1.003,0.991
USDT,2018-07-19,0.9987051607,0.9985484518,1.000447347,0.992
USDT,2018-07-20,0.9971160589,0.9987051607,0.9999070526,0.9961963946
USDT,2018-07-21,0.9996018966,0.9971160589,1.0001940768,0.9969852185
USDT,2018-07-22,0.9988663425,0.9996018966,0.9999638586,0.9951249805
USDT,2018-07-23,0.9977737321,0.9988662547,1.0000473269,0.9961256246
USDT,2018-07-24,0.9972793187,0.9977737321,1.0002200682,0.9965402614
