Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XTZ,2020-03-23,1.6747301568,1.4830162648,1.6956072668,1.465324227
XTZ,2020-03-24,1.77265816,1.6758650735,1.7904763851,1.6297835067
XTZ,2020-03-25,1.7204456266,1.7727978886,1.7966387327,1.6572448658
XTZ,2020-03-26,1.738322334,1.7167525287,1.7664394376,1.7052750322
XTZ,2020-03-27,1.6722375481,1.7383100181,1.7881282239,1.6559759454
XTZ,2020-03-28,1.5666507009,1.6722413341,1.6729922658,1.5093555353
XTZ,2020-03-29,1.5013232685,1.5667879615,1.5822744185,1.4930447543
XTZ,2020-03-30,1.6193474325,1.5013029238,1.663010729,1.4636808926
XTZ,2020-03-31,1.6175374366,1.6192823523,1.6410913818,1.5523234731
XTZ,2020-04-01,1.6026190422,1.6177023371,1.6217453359,1.5240485349
XTZ,2020-04-02,1.6895054588,1.6023977502,1.7987608776,1.599448743
XTZ,2020-04-03,1.6896595456,1.6895201975,1.781307409,1.6520486317
XTZ,2020-04-04,1.6952733936,1.6896770979,1.7322009667,1.6578597762
XTZ,2020-04-05,1.6752791055,1.6960162981,1.7093713731,1.6642276515
XTZ,2020-04-06,1.8716785034,1.8263838941,1.8949068709,1.8237528397
XTZ,2020-04-07,1.9542269104,1.8717728582,2.1030286834,1.8626175593
XTZ,2020-04-08,2.1626953773,1.9542276707,2.1708562843,1.9249764945
XTZ,2020-04-09,2.1228605911,2.1629192952,2.180925192,1.9971279611
XTZ,2020-04-10,1.9157160563,2.1228892193,2.1247143961,1.8250305312
XTZ,2020-04-11,1.962623834,1.9156851066,2.0466566421,1.8926896247
XTZ,2020-04-12,2.0079425966,1.9625405571,2.0691277806,1.8929938902
XTZ,2020-04-13,1.9549543836,2.0079560099,2.0347588245,1.8679419288
XTZ,2020-04-14,1.9634633221,1.9549764958,1.9995591655,1.9073550517
XTZ,2020-04-15,1.9343168598,1.9634609739,1.9801352065,1.8928803169
XTZ,2020-04-16,2.1063090018,1.9343023535,2.1077498378,1.8402331707
XTZ,2020-04-17,2.0895589004,2.1058971937,2.1610692732,2.0647613182
XTZ,2020-04-18,2.3467222419,2.0895578737,2.3488351536,2.0874886941
XTZ,2020-04-19,2.2769499834,2.3467096314,2.3781726955,2.2118065836
XTZ,2020-04-20,2.1502287065,2.2769505023,2.3556402186,2.0656760124
XTZ,2020-04-21,2.1882503826,2.1502284642,2.2088804959,2.0832105604
XTZ,2020-04-22,2.3192823806,2.1882508201,2.3466447677,2.135309747
XTZ,2020-04-23,2.5404329934,2.3192840687,2.585989587,2.3094348245
XTZ,2020-04-24,2.722276292,2.5403282358,2.7678484643,2.4755327292
XTZ,2020-04-25,2.8512470782,2.723020519,2.8924157038,2.6424548688
XTZ,2020-04-26,2.7440471772,2.8512585983,2.8653793843,2.7345909332
XTZ,2020-04-27,2.6994643259,2.7440443524,2.7930652169,2.5591455085
XTZ,2020-04-28,2.7323092866,2.6996583237,2.8189271913,2.6660521904
XTZ,2020-04-29,2.9461959015,2.7325392297,3.0181583634,2.7325392131
XTZ,2020-04-30,2.765170258,2.9462024769,3.0444311449,2.6858969524
XTZ,2020-05-01,2.8070464265,2.7646596547,2.9501211797,2.7378206777
XTZ,2020-05-02,2.8344433945,2.8070862101,2.872198562,2.7812844629
XTZ,2020-05-03,2.7581826761,2.8347699413,2.8829905401,2.6876138399
XTZ,2020-05-04,2.7935857984,2.7581775964,2.8521428468,2.5943938398
XTZ,2020-05-05,2.7370810037,2.7937549524,2.8342886543,2.702385306
XTZ,2020-05-06,2.7122945163,2.7370736914,2.8084499736,2.6944396568
XTZ,2020-05-07,2.7453764559,2.7128131803,2.8079759599,2.616099401
